Iteration	Posterior	Likelihood	Prior	sigma
0	-329.2653	145.2353	-474.5006	0.09704799
100	-327.06	148.351	-475.411	0.09796745
200	-333.7914	136.87	-470.6614	0.08547478
300	-344.9463	127.2942	-472.2405	0.09738851
400	-334.8336	139.6921	-474.5257	0.09551634
500	-335.1143	125.0635	-460.1778	0.08625133
600	-362.5845	122.6431	-485.2276	0.09864232
700	-365.6812	125.8083	-491.4895	0.09067624
800	-343.5141	135.7825	-479.2966	0.09003441
900	-346.9069	122.4029	-469.3097	0.09218759
1000	-320.3502	139.0236	-459.3738	0.09100153
1100	-341.995	139.7845	-481.7795	0.09823241
1200	-336.8413	128.2351	-465.0764	0.09818959
1300	-308.7015	151.3416	-460.0431	0.07789388
1400	-325.7913	141.4551	-467.2464	0.09752986
1500	-327.131	132.5163	-459.6474	0.09847039
1600	-342.2866	124.7907	-467.0773	0.097771
1700	-349.0894	127.1426	-476.232	0.09224796
1800	-343.6692	125.7591	-469.4283	0.09875907
1900	-330.9977	134.5688	-465.5665	0.09907412
2000	-328.5156	132.0554	-460.571	0.0951417
2100	-344.9282	134.1605	-479.0888	0.09843018
2200	-345.1068	111.4296	-456.5364	0.09508775
2300	-343.4338	112.6601	-456.0939	0.09554917
2400	-351.6673	123.171	-474.8383	0.08796925
2500	-347.4531	125.4778	-472.9309	0.09796084
2600	-342.6276	118.2541	-460.8817	0.09705638
2700	-364.3413	118.2109	-482.5521	0.09949686
2800	-337.3279	131.1276	-468.4554	0.098679
2900	-313.4983	146.6616	-460.1599	0.09853547
3000	-323.4481	144.8872	-468.3353	0.08871465
3100	-345.3178	123.4647	-468.7825	0.09754777
3200	-379.7355	123.236	-502.9716	0.09876873
3300	-364.2934	121.1473	-485.4407	0.08303589
3400	-338.3391	122.6477	-460.9868	0.09760366
3500	-354.4283	123.222	-477.6503	0.09880498
3600	-353.7587	125.9442	-479.7028	0.0979705
3700	-331.9578	133.9572	-465.9149	0.09929588
3800	-366.8353	116.8827	-483.718	0.09642864
3900	-362.919	117.9034	-480.8224	0.09719852
4000	-304.1727	149.0792	-453.2519	0.09940679
4100	-325.6538	147.6119	-473.2656	0.09957081
4200	-315.7336	151.4315	-467.1651	0.09925714
4300	-302.4202	152.2404	-454.6606	0.0888981
4400	-355.1626	129.2112	-484.3738	0.08982627
4500	-317.0417	144.894	-461.9357	0.09988132
4600	-329.7662	146.4846	-476.2508	0.09828794
4700	-298.0203	165.2646	-463.2848	0.09400985
4800	-309.9228	152.477	-462.3998	0.09264846
4900	-324.9398	153.7598	-478.6997	0.0882526
5000	-300.9965	154.8453	-455.8418	0.09475564
5100	-306.9595	162.8588	-469.8183	0.09827275
5200	-298.7847	168.8124	-467.5971	0.09138935
5300	-309.2158	157.9332	-467.149	0.09623933
5400	-281.9041	167.1124	-449.0165	0.09789087
5500	-326.2634	149.6292	-475.8926	0.09344152
5600	-323.2293	157.3874	-480.6168	0.09624858
5700	-336.865	144.31	-481.175	0.09822833
5800	-322.7519	151.2731	-474.0251	0.09746955
5900	-335.6496	150.2543	-485.9039	0.09527977
6000	-309.4924	145.2023	-454.6947	0.08242903
6100	-325.0935	137.2167	-462.3102	0.0965103
6200	-306.2847	157.7677	-464.0524	0.09130762
6300	-326.6516	150.8559	-477.5075	0.09131962
6400	-320.8604	152.1664	-473.0268	0.08518464
6500	-323.122	155.3326	-478.4546	0.09078155
6600	-317.3874	147.4411	-464.8285	0.09606614
6700	-332.3465	138.9955	-471.342	0.08683314
6800	-334.5427	135.9213	-470.464	0.09911524
6900	-331.3091	143.0014	-474.3106	0.09951901
7000	-318.8523	156.8604	-475.7127	0.09826566
7100	-307.0375	152.8332	-459.8708	0.09457663
7200	-361.8359	142.0513	-503.8872	0.09983094
