Iteration	Posterior	Likelihood	Prior	sigma
0	167807.9	168258.5	-450.6287	0.09931725
100	168162.1	168612	-449.8972	0.06831468
200	168364	168804.3	-440.2993	0.07709668
300	168650.3	169116.2	-465.8529	0.09091983
400	168932.3	169355.4	-423.0547	0.09029015
500	169150.4	169600.8	-450.3988	0.07320041
600	169411.2	169875.7	-464.5163	0.09807857
700	169640.9	170102.5	-461.6325	0.05315042
800	169882	170344.2	-462.2119	0.06815836
900	170115	170572.6	-457.6254	0.05323314
1000	170378.3	170821.9	-443.5755	0.06144281
