Iteration	Posterior	Likelihood	Prior	sigma
0	135702.6	136126.2	-423.653	0.03546918
100	107610.9	108038.7	-427.8363	0.0009076279
200	-825673.1	-825243.9	-429.165	1.965723e-05
300	111222.4	111661.2	-438.7871	0.0002286555
400	138429.7	138855.7	-425.9706	0.01363615
500	-1661621	-1661206	-414.7963	1.682803e-05
600	138739.7	139160.8	-421.0562	0.07355161
700	3973.518	4404.936	-431.4185	0.0004600219
800	140569.3	141016.6	-447.2743	0.07424611
900	141120.2	141580.5	-460.2558	0.01098977
1000	133076.8	133512.5	-435.6797	0.00106037
