Iteration	Posterior	Likelihood	Prior	sigma
0	175703.3	176130.1	-426.7685	0.08353115
100	175440.1	175896.4	-456.2336	0.02366842
200	175663.3	176120.4	-457.0739	0.03619907
300	175579.1	176039.6	-460.4762	0.03410656
400	175557.8	175980.7	-422.96	0.0488519
500	175604.8	176041.5	-436.6601	0.07455132
600	175619.3	176063.9	-444.646	0.07933287
700	175599.7	176044.3	-444.5733	0.04940073
800	175370.6	175824	-453.4325	0.03492004
900	175466.2	175899.1	-432.8555	0.02741863
1000	175587.1	176033.7	-446.6615	0.02144887
