state	power	likelihood
260	0.0205963	175985
270	0.0205963	176040
280	0.0205963	175888
290	0.0205963	175884
300	0.0205963	176040
310	0.0205963	176022
320	0.0205963	176035
330	0.0205963	176106
340	0.0205963	176076
350	0.0205963	176015
360	0.0205963	175997
370	0.0205963	176041
380	0.0205963	176077
390	0.0205963	176081
400	0.0205963	175981
410	0.0205963	175937
420	0.0205963	175858
430	0.0205963	175951
440	0.0205963	175977
450	0.0205963	176070
460	0.0205963	176045
470	0.0205963	176029
480	0.0205963	175867
490	0.0205963	176012
500	0.0205963	176041
510	0.0205963	176023
520	0.0205963	176086
530	0.0205963	175962
540	0.0205963	176045
550	0.0205963	176107
560	0.0205963	176134
570	0.0205963	176054
580	0.0205963	176093
590	0.0205963	176076
600	0.0205963	176064
610	0.0205963	176023
620	0.0205963	175967
630	0.0205963	176106
640	0.0205963	175995
650	0.0205963	175985
660	0.0205963	175908
670	0.0205963	175915
680	0.0205963	175542
690	0.0205963	175709
700	0.0205963	176044
710	0.0205963	176014
720	0.0205963	176009
730	0.0205963	175908
740	0.0205963	176005
750	0.0205963	176019
760	0.0205963	176004
770	0.0205963	175971
780	0.0205963	176045
790	0.0205963	176041
800	0.0205963	175824
810	0.0205963	175959
820	0.0205963	175851
830	0.0205963	175963
840	0.0205963	175912
850	0.0205963	175895
860	0.0205963	175905
870	0.0205963	176006
880	0.0205963	176147
890	0.0205963	176087
900	0.0205963	175899
910	0.0205963	175909
920	0.0205963	176017
930	0.0205963	176035
940	0.0205963	176032
950	0.0205963	176069
960	0.0205963	176156
970	0.0205963	176120
980	0.0205963	176252
990	0.0205963	176158
1000	0.0205963	176034
