Iteration	Posterior	Likelihood	Prior	sigma
0	31031.13	31487.84	-456.7097	0.06374639
100	30997.71	31451.8	-454.0984	0.07796394
200	30902.93	31366.05	-463.1242	0.0308161
300	30917.61	31349.21	-431.6021	0.08863827
400	30884.98	31336.54	-451.5611	0.07240552
500	30745.55	31192	-446.4461	0.08290186
600	30730.23	31185.16	-454.9322	0.07114991
700	30867.08	31306.12	-439.0418	0.07171632
800	30839.71	31284.43	-444.7231	0.07066246
900	30770.07	31207	-436.9263	0.0808012
1000	30704.57	31167.94	-463.3673	0.09594495
1100	30648.67	31100.14	-451.4673	0.09905712
1200	30657.81	31102.18	-444.3699	0.09498914
1300	30504.6	30966.38	-461.7724	0.09031667
1400	30625.87	31079.61	-453.7354	0.08223694
1500	30652.55	31093.84	-441.2885	0.05321425
1600	30515.37	30946.99	-431.6156	0.06917039
1700	30384.61	30817.28	-432.677	0.09513493
1800	30324.65	30780.62	-455.9743	0.04525638
1900	30356.53	30794.17	-437.6419	0.06231174
2000	30398.9	30838.03	-439.1259	0.09474073
2100	30445.36	30868.23	-422.8737	0.05972975
2200	30398.63	30858.85	-460.2193	0.05818368
2300	30397.65	30836	-438.3512	0.09903807
2400	30357.94	30798.97	-441.0327	0.06762296
2500	30364.86	30801.21	-436.3522	0.09471738
2600	30381.51	30816.13	-434.622	0.09219305
2700	30260.66	30702.87	-442.2178	0.06676408
2800	30270.26	30689.99	-419.7303	0.07790483
2900	30134.14	30584.36	-450.2218	0.09203507
3000	30081.18	30543.44	-462.2593	0.06848026
3100	30229.2	30687.24	-458.045	0.08055523
3200	30245.53	30682.37	-436.8435	0.08636279
3300	30237.6	30667.51	-429.9102	0.03046196
3400	30198.14	30633.99	-435.8442	0.09618749
3500	30145.93	30598.04	-452.1104	0.08814821
3600	30151.54	30589.51	-437.9683	0.07983633
3700	30111.26	30555.2	-443.938	0.06644034
3800	29985.71	30444.16	-458.4434	0.06076901
3900	29922.05	30392.49	-470.4401	0.0900026
4000	29968.6	30409.65	-441.0441	0.09831144
4100	29921.46	30372.66	-451.1978	0.06014091
4200	29935.78	30384.34	-448.5578	0.09159711
4300	29864.21	30303.72	-439.502	0.05539614
4400	29914.12	30377.6	-463.475	0.08524516
4500	29844.99	30295.66	-450.6675	0.05010795
4600	29924.16	30352.21	-428.0485	0.0648098
4700	29878.3	30318.15	-439.8444	0.09975214
4800	29899.61	30329.42	-429.8137	0.09104555
4900	29936.85	30357.7	-420.8469	0.04416819
5000	29909.29	30362.11	-452.8196	0.06681579
5100	29962.29	30420.33	-458.0384	0.06995043
5200	29873.77	30315.41	-441.6357	0.09358192
5300	29771.55	30217.75	-446.2021	0.07224445
5400	29760.62	30202.9	-442.2773	0.06158524
5500	29785.01	30225.41	-440.3968	0.08826495
5600	29802.34	30240.59	-438.2434	0.0682758
5700	29885.64	30316.96	-431.3168	0.05424873
5800	29741.17	30190.1	-448.9299	0.07207721
5900	29724.66	30174.28	-449.6183	0.07165466
6000	29704.55	30160.01	-455.4634	0.09319199
6100	29741.69	30174.03	-432.3327	0.05553811
6200	29662.96	30107.42	-444.4567	0.08499842
6300	29627.97	30075.12	-447.1518	0.0831664
6400	29692.93	30130.2	-437.2728	0.07325859
6500	29603.91	30042.1	-438.187	0.03435722
6600	29579.05	30026.65	-447.5986	0.07600561
6700	29575.82	30003.97	-428.1512	0.05460108
6800	29508.17	29944.82	-436.6439	0.08285951
6900	29531.36	29959.28	-427.9127	0.06796596
7000	29531.86	29972.3	-440.4352	0.06948982
7100	29450.83	29889.64	-438.8103	0.09020999
7200	29415.31	29843.87	-428.5653	0.08363097
7300	29448.03	29876.08	-428.0433	0.09022126
7400	29440.8	29879.64	-438.8487	0.07791445
7500	29329.36	29781.57	-452.2166	0.08491943
7600	29332.28	29769.42	-437.1367	0.09635412
7700	29414.52	29848.42	-433.8975	0.09519838
7800	29491.88	29926.03	-434.1498	0.05164999
7900	29458.87	29905.77	-446.9028	0.06532802
8000	29367.78	29828.87	-461.0868	0.05107747
8100	29371.95	29810.31	-438.366	0.07975698
8200	29410.54	29851.63	-441.0923	0.05149884
8300	29346.06	29781.97	-435.9073	0.08587231
8400	29299.03	29758.12	-459.0846	0.07815853
8500	29301.33	29739.19	-437.8603	0.09266258
8600	29326.12	29789.7	-463.5724	0.09100021
8700	29415.59	29854.43	-438.8406	0.08869579
8800	29351.15	29800.6	-449.4552	0.06830173
8900	29341.25	29808.99	-467.7458	0.06891237
9000	29412.06	29850.58	-438.5268	0.07800875
9100	29430.88	29861.87	-430.9818	0.09828425
9200	29378.66	29830.33	-451.6665	0.08449029
9300	29363.33	29809.77	-446.4456	0.08252106
9400	29325.96	29773.42	-447.4555	0.06582428
9500	29265.53	29736.64	-471.1105	0.09738409
9600	29297.26	29752.97	-455.7044	0.03665154
9700	29328.47	29786	-457.5382	0.09033543
9800	29352.64	29781.29	-428.6515	0.08862823
9900	29368.85	29807.82	-438.9647	0.06099979
10000	29379.71	29830.48	-450.7634	0.07627983
10100	29401.8	29839	-437.1988	0.0580238
10200	29410.68	29845.79	-435.1038	0.08442789
10300	29327.29	29761.84	-434.5446	0.05882715
10400	29321.09	29759.82	-438.7247	0.05707943
10500	29248.16	29673.86	-425.7008	0.06622583
10600	29332.85	29770.07	-437.2193	0.05983925
10700	29318.23	29777.68	-459.4479	0.08652344
10800	29292.42	29740.42	-447.9958	0.07909085
10900	29401.94	29825.26	-423.3188	0.08698399
11000	29403.37	29857.23	-453.8601	0.08754976
11100	29478.06	29901.34	-423.2726	0.0644253
11200	29344.19	29806.85	-462.6618	0.07439269
11300	29362.45	29804.87	-442.4189	0.04103266
11400	29369.71	29799.92	-430.2084	0.06209129
11500	29307.24	29733.52	-426.2824	0.0368851
11600	29209.79	29674.19	-464.3955	0.04794068
11700	29214.9	29663.7	-448.8037	0.09613431
11800	29280.02	29726.15	-446.1228	0.09689516
11900	29304.96	29735.48	-430.5216	0.06914315
12000	29279.51	29707.62	-428.1155	0.08460762
12100	29322.07	29762.34	-440.2696	0.04544491
12200	29187.68	29658.56	-470.8788	0.03496641
12300	29164.16	29615.02	-450.8561	0.06475525
12400	29193	29628.54	-435.5414	0.08332948
12500	29118.47	29575.36	-456.8805	0.0566199
12600	29150.13	29589.01	-438.8779	0.06211495
12700	29182.92	29623.18	-440.2608	0.07862334
12800	29213.92	29662.22	-448.3042	0.06363182
12900	29190.49	29620.88	-430.3921	0.08672777
13000	29230.79	29658.61	-427.8131	0.05520653
13100	29202.02	29636.32	-434.3016	0.05240533
13200	29240.9	29679.02	-438.1149	0.06010565
13300	29125.12	29554.08	-428.9594	0.02555333
13400	29073.09	29526.46	-453.3735	0.05315626
13500	29080.97	29518.17	-437.1945	0.07145115
13600	29060.71	29504.81	-444.1016	0.05475352
13700	28998.64	29445.65	-447.009	0.08464453
