Iteration	Posterior	Likelihood	Prior	sigma
0	175656.4	176113.1	-456.6577	0.06613157
100	175719.2	176171.1	-451.9514	0.0684972
200	175744.6	176201.3	-456.698	0.009904012
300	175922.6	176365.1	-442.5188	0.06827862
400	175824.6	176278.3	-453.7826	0.04870867
500	175906.3	176339.2	-432.8999	0.04687729
600	175778.9	176216.4	-437.5442	0.03765055
700	175869.5	176326.7	-457.2381	0.03683261
800	175831.3	176276.2	-444.9018	0.06181428
900	175722.8	176196.8	-473.9045	0.04781823
1000	175788.7	176228.2	-439.5266	0.02681198
