Iteration	Posterior	Likelihood	Prior	sigma
0	146396	146828.9	-432.845	0.09696934
100	146656.6	147089.9	-433.2964	0.06922237
200	146925.6	147381.2	-455.5796	0.0807315
300	147252	147708.9	-456.8269	0.09826852
400	147511.7	147959.3	-447.612	0.06431411
500	147733.8	148200.9	-467.0349	0.07279477
600	147982.3	148414.3	-431.9815	0.06627303
700	148218.5	148665.7	-447.222	0.04864284
800	148465.6	148915.1	-449.509	0.05135646
900	148687.9	149145.1	-457.2099	0.09468189
1000	148879.7	149324.6	-444.9243	0.0755525
