Iteration	Posterior	Likelihood	Prior	sigma
0	175661	176103.8	-442.8001	0.03869518
100	175660.7	176109	-448.3076	0.05053954
200	175762.6	176192.7	-430.0663	0.08136157
300	175566.9	175990.4	-423.4674	0.09008414
400	175700.8	176145.7	-444.932	0.03286414
500	175602.2	176038.9	-436.7827	0.06842334
600	175752.4	176207.1	-454.7875	0.03829812
700	175761.8	176187.3	-425.5219	0.06473459
800	175666.7	176101	-434.3188	0.03694181
900	175771.5	176205	-433.5247	0.02458186
1000	176048.2	176504.5	-456.3091	0.07542817
