Iteration	Posterior	Likelihood	Prior	sigma
0	-2747.309	-2807.775	60.46663	2.495661
100	-6637.424	-6684.365	46.94078	17.22535
200	1623.603	1636.676	-13.07304	0.2254176
300	-7050.486	-6849.46	-201.0253	0.1090796
400	-89620.7	-89518.42	-102.2846	0.03768519
500	-5329.286	-5039.351	-289.9349	7.765544
600	-7305.118	-7134.674	-170.4446	20.34968
700	670.2049	1027.273	-357.068	0.2003551
800	-2292.935	-2071.753	-221.1815	1.704691
900	-8048.247	-8062.754	14.50664	33.27525
1000	83.90804	154.1637	-70.25569	0.5404813
