state	power	likelihood
260	0.145393	3504.21
270	0.145393	3585.94
280	0.145393	3545.38
290	0.145393	3576.15
300	0.145393	3590.9
310	0.145393	3502.41
320	0.145393	3587.39
330	0.145393	3584.67
340	0.145393	3546.8
350	0.145393	3552.66
360	0.145393	3510
370	0.145393	3517.89
380	0.145393	3546.49
390	0.145393	3496.02
400	0.145393	3510.65
410	0.145393	3531.21
420	0.145393	3481.17
430	0.145393	3501.86
440	0.145393	3550.61
450	0.145393	3490.11
460	0.145393	3475.18
470	0.145393	3466.62
480	0.145393	3548.93
490	0.145393	3566.46
500	0.145393	3550.87
510	0.145393	3514.97
520	0.145393	3495.79
530	0.145393	3546.77
540	0.145393	3544.15
550	0.145393	3505.35
560	0.145393	3506.31
570	0.145393	3501.72
580	0.145393	3545.88
590	0.145393	3510
600	0.145393	3537.23
610	0.145393	3497.77
620	0.145393	3516.99
630	0.145393	3483.07
640	0.145393	3489.07
650	0.145393	3520.96
660	0.145393	3516.88
670	0.145393	3521.74
680	0.145393	3445.63
690	0.145393	3439.65
700	0.145393	3457.74
710	0.145393	3504.99
720	0.145393	3458.82
730	0.145393	3415.21
740	0.145393	3392.02
750	0.145393	3411.9
760	0.145393	3449.51
770	0.145393	3473.53
780	0.145393	3467.55
790	0.145393	3424.51
800	0.145393	3391.2
810	0.145393	3354.27
820	0.145393	3417.21
830	0.145393	3413.03
840	0.145393	3408.14
850	0.145393	3414.65
860	0.145393	3358.78
870	0.145393	3399.94
880	0.145393	3453.81
890	0.145393	3448.08
900	0.145393	3438.69
910	0.145393	3453.25
920	0.145393	3474.11
930	0.145393	3456.86
940	0.145393	3451.42
950	0.145393	3483.28
960	0.145393	3465.23
970	0.145393	3465.78
980	0.145393	3462.46
990	0.145393	3470.26
1000	0.145393	3482.65
