Iteration	Posterior	Likelihood	Prior	sigma
13100	4520.035	4721.073	-201.0379	0.06001209
13200	4626.332	4719.759	-93.42687	0.0612933
13300	4632.451	4705.241	-72.78913	0.06039902
13400	4549.376	4700.143	-150.7676	0.06187522
13500	4505.944	4683.548	-177.6039	0.05889955
13600	4521.495	4713.194	-191.699	0.06234655
13700	4489.708	4718.752	-229.0437	0.05881622
13800	4688.357	4711.203	-22.84615	0.06034044
13900	4851.955	4715.026	136.9296	0.06129414
14000	4900.515	4726.573	173.9423	0.06202549
14100	4852.468	4715.454	137.0138	0.06282267
14200	4811.162	4725.948	85.21348	0.06182874
14300	4741.216	4699.699	41.51701	0.06255624
14400	4524.768	4716.234	-191.4662	0.06096366
14500	4483.642	4735.091	-251.4485	0.06024814
14600	4423.602	4718.303	-294.7006	0.06113177
14700	4494.886	4736.819	-241.9333	0.06040046
14800	4504.038	4719.539	-215.5006	0.06148403
14900	4545.755	4736.3	-190.5451	0.06460444
15000	4616.037	4731.628	-115.5904	0.06077711
15100	4620.976	4750.878	-129.9015	0.06417084
15200	4693.071	4744.296	-51.225	0.06251531
15300	4648.965	4738.492	-89.52662	0.06157731
15400	4632.412	4751.561	-119.1482	0.06203678
15500	4516.142	4719.225	-203.0836	0.05913436
15600	4610.277	4742.911	-132.6339	0.06002456
15700	4660.458	4735.301	-74.84264	0.06088763
15800	4709.55	4723.54	-13.99077	0.06019891
15900	4601.334	4732.052	-130.7177	0.0571882
16000	4517.47	4741.561	-224.091	0.06319245
16100	4393.43	4734.706	-341.2761	0.06180317
16200	4437.236	4753.514	-316.2778	0.0657358
16300	4424.027	4728.752	-304.7252	0.05982518
16400	4306.63	4731.191	-424.5617	0.06057857
16500	4430.677	4713.954	-283.2768	0.0629499
16600	4591.945	4741.713	-149.7675	0.06691355
16700	4594.752	4717.871	-123.1186	0.06271795
16800	4545.093	4718.516	-173.4229	0.05900044
16900	4438.116	4722.371	-284.2553	0.06239805
17000	4268.07	4732.043	-463.973	0.06439705
17100	4240.349	4719.578	-479.2287	0.06264665
17200	4280.256	4708.345	-428.0884	0.0586469
17300	4222.565	4711.285	-488.7201	0.06087509
17400	4260.915	4714.885	-453.97	0.0600987
17500	4308.849	4706.849	-397.9995	0.0602841
17600	4350.022	4689.986	-339.9634	0.0579599
17700	4265.599	4701.94	-436.3411	0.06069381
17800	4257.904	4708.38	-450.476	0.06214104
17900	4241.458	4697.909	-456.451	0.06026237
18000	4338.617	4719.939	-381.3219	0.06102758
18100	4374.738	4719.471	-344.7325	0.05994979
18200	4460.708	4722.946	-262.2376	0.06075049
18300	4414.419	4737.699	-323.28	0.06255607
18400	4406.688	4726.468	-319.7803	0.06366038
18500	4599.108	4705.058	-105.9502	0.05877981
18600	4650.546	4706.846	-56.3	0.06038204
18700	4786.396	4718.609	67.787	0.05946644
18800	4956.339	4725.352	230.987	0.05950506
18900	4788.601	4697.155	91.44672	0.06259897
19000	4839.708	4722.766	116.9417	0.06214081
19100	4703.478	4731.835	-28.35734	0.06314707
19200	4608.094	4726.445	-118.3505	0.06221887
19300	4732.739	4714.734	18.00534	0.05891078
19400	4640.536	4717.215	-76.6787	0.05836477
19500	4472.621	4744.393	-271.7723	0.06420042
19600	4495.783	4742.434	-246.6512	0.06289494
19700	4363.38	4731.826	-368.4463	0.06434159
19800	4340.538	4724.78	-384.2418	0.06154245
19900	4396.585	4723.935	-327.3497	0.06075117
20000	4378.517	4740.169	-361.6521	0.06368143
20100	4315.68	4715.178	-399.4975	0.06311183
20200	4425.775	4727.376	-301.6014	0.06086968
20300	4377.78	4711.259	-333.479	0.06272365
20400	4290.889	4705.979	-415.0903	0.06173644
20500	4385.961	4726.785	-340.8235	0.05991552
20600	4410.954	4718.454	-307.4997	0.06255834
20700	4353.915	4728.865	-374.9502	0.05989177
20800	4296.425	4733.46	-437.0346	0.0605432
20900	4298.607	4754.748	-456.1408	0.0613198
21000	4300.642	4732.321	-431.6788	0.06295807
21100	4297.436	4706.612	-409.1761	0.05756349
21200	4350.838	4723.911	-373.0727	0.05964939
21300	4343.35	4729.759	-386.4097	0.06179582
21400	4377.579	4712.546	-334.967	0.06083068
21500	4328.631	4698.782	-370.1512	0.05926713
21600	4362.968	4721.645	-358.6777	0.06107865
21700	4321.96	4731.658	-409.6978	0.06116941
21800	4383.535	4746.911	-363.3759	0.06167339
21900	4452.172	4739.301	-287.1285	0.06414889
22000	4442.347	4727.876	-285.5289	0.0611997
22100	4409.769	4722.531	-312.7624	0.05773557
22200	4357.373	4701.394	-344.021	0.06074409
22300	4415.977	4712.845	-296.8685	0.06183296
22400	4417.066	4701.31	-284.2435	0.06188549
22500	4412.896	4694.961	-282.0647	0.05948712
22600	4440.466	4692.981	-252.5147	0.06051444
