Iteration	Posterior	Likelihood	Prior	sigma
0	4312.63	4450.01	-137.3798	0.05559389
100	4228.097	4421.405	-193.3081	0.0557709
200	4330.117	4411.703	-81.58605	0.05327032
300	4402.593	4412.166	-9.573107	0.05536006
400	4343.127	4370.944	-27.817	0.05377395
500	4263.71	4378.314	-114.6039	0.05672178
600	4137.323	4381.76	-244.4368	0.05204006
700	4229.759	4415.024	-185.2642	0.05540492
800	4183.561	4459.575	-276.0135	0.05881882
900	4084.157	4433.273	-349.1163	0.05765502
1000	4163.754	4467.661	-303.9068	0.05746244
