Iteration	Posterior	Likelihood	Prior	sigma
0	2047.323	2304.9	-257.5768	0.1160902
100	1964.305	2284.444	-320.1383	0.1086518
200	1824.321	2207.126	-382.8048	0.144048
300	1819.335	2301.423	-482.0881	0.1060783
400	1673.814	2146.778	-472.9647	0.09694062
500	1891.338	2326.171	-434.8328	0.1179579
600	1651.801	2312.735	-660.9346	0.1210123
700	1569.237	2202.598	-633.3611	0.1399279
800	1495.995	2212.017	-716.0216	0.1223475
900	1774.707	2355.292	-580.585	0.1348457
1000	2010.303	2453.141	-442.8385	0.1168949
