Iteration	Posterior	Likelihood	Prior	sigma
0	-7680.242	-6982.102	-698.1395	18.75395
100	-8527.164	-7972.98	-554.1839	33.04376
200	-8529.544	-8031.12	-498.4246	31.97952
300	57.26628	460.9017	-403.6355	0.4546375
400	-9369.051	-8951.984	-417.0669	51.20184
500	1150.125	1538.644	-388.5183	0.1548121
600	-556.33	-177.3873	-378.9427	0.5842387
700	-538.9978	-222.5939	-316.4039	0.7482409
800	-2679.096	-2415.339	-263.7564	2.028091
900	-12079.98	-11739.82	-340.1672	209.1058
1000	-1914.619	-1609.559	-305.0596	0.1905853
