Iteration	Posterior	Likelihood	Prior	sigma
0	2619.867	3105.448	-485.581	0.08125344
100	2518.614	2954.1	-435.486	0.07841228
200	2908.25	3162.277	-254.0266	0.08206246
300	2857.363	3128.117	-270.7537	0.08185326
400	2837.52	3127.452	-289.9311	0.08358845
500	2674.634	3111.511	-436.877	0.07620365
600	2716.351	3117.98	-401.6283	0.07716442
700	2591.44	3165.486	-574.0461	0.07419966
800	2573.084	3100.868	-527.7832	0.07910179
900	2416.556	3077.246	-660.6893	0.08455261
1000	2683.263	3252.47	-569.2069	0.08125894
