Iteration	Posterior	Likelihood	Prior	sigma
0	-1432.423	-1014.282	-418.1403	1.828887
100	-1112.753	-696.5615	-416.1918	1.273399
200	-1066.827	-649.8214	-417.0052	1.191352
300	-311.1171	110.3337	-421.4509	0.412631
400	-152.3561	268.1762	-420.5323	0.3407248
500	-2168.339	-1746.832	-421.5075	3.813947
600	-171.4902	247.796	-419.2862	0.140437
700	-81165.81	-80746.53	-419.2763	0.03376108
800	-1482.029	-1065.094	-416.9349	1.914653
900	-870.0337	-451.5909	-418.4428	0.82155
1000	-3033.241	-2616.924	-416.3163	10.97139
