Iteration	Posterior	Likelihood	Prior	sigma
0	-85.64188	335.1448	-420.7866	0.2579728
100	-844.9105	-428.0993	-416.8111	0.1729975
200	-669.8262	-254.4325	-415.3937	0.6902696
300	-1163.596	-747.0053	-416.591	1.333569
400	-2556.852	-2139.305	-417.5469	6.321539
500	-174.5998	243.8514	-418.4512	0.3206197
600	-1535.639	-1115.579	-420.0603	1.879386
700	-1603.616	-1187.469	-416.1466	2.236911
800	-815.8099	-396.6524	-419.1574	0.8302063
900	-1126.7	-707.1032	-419.5968	1.201994
1000	-89.84879	327.4298	-417.2786	0.2555644
