state	power	likelihood
260	0.00032	232.836
270	0.00032	183.821
280	0.00032	-102.853
290	0.00032	-141.095
300	0.00032	-900.704
310	0.00032	-360.048
320	0.00032	-964.906
330	0.00032	-658.189
340	0.00032	180.999
350	0.00032	-1941.5
360	0.00032	177.35
370	0.00032	465.959
380	0.00032	-2613.11
390	0.00032	-481.356
400	0.00032	-82.4575
410	0.00032	347.762
420	0.00032	-652.852
430	0.00032	-110.768
440	0.00032	-228.851
450	0.00032	339.197
460	0.00032	-817.258
470	0.00032	299.753
480	0.00032	-3228.49
490	0.00032	-920.557
500	0.00032	-12.9675
510	0.00032	-715.556
520	0.00032	-3252.64
530	0.00032	-904.64
540	0.00032	-374.482
550	0.00032	-33.1754
560	0.00032	-1761.76
570	0.00032	-589.851
580	0.00032	-228.298
590	0.00032	-919.341
600	0.00032	-1163.42
610	0.00032	-114.96
620	0.00032	295.162
630	0.00032	-2483.45
640	0.00032	81.8111
650	0.00032	-328.515
660	0.00032	-4438.6
670	0.00032	-99.064
680	0.00032	-760.73
690	0.00032	-4342.3
700	0.00032	-2767.62
710	0.00032	-1099.44
720	0.00032	-1600.16
730	0.00032	-677.378
740	0.00032	-1665.39
750	0.00032	-2638.04
760	0.00032	-1954.82
770	0.00032	-1340.44
780	0.00032	-1735.66
790	0.00032	-27.2842
800	0.00032	-616.295
810	0.00032	-514.711
820	0.00032	-3859.86
830	0.00032	-656.719
840	0.00032	-576.082
850	0.00032	-1389.48
860	0.00032	-1328.66
870	0.00032	-822.613
880	0.00032	-2486.47
890	0.00032	-293.188
900	0.00032	-37.0861
910	0.00032	-2390.38
920	0.00032	-1419.05
930	0.00032	276.594
940	0.00032	-2674.9
950	0.00032	372.492
960	0.00032	-563.618
970	0.00032	-0.373717
980	0.00032	-862.22
990	0.00032	-17.4125
1000	0.00032	-183.511
