Iteration	Posterior	Likelihood	Prior	sigma
0	865.6134	1279.214	-413.6003	0.08372792
100	881.9208	1296.316	-414.3952	0.08380197
200	901.1151	1314.566	-413.4514	0.08436118
300	928.5335	1340.937	-412.4035	0.08605201
400	911.6628	1326.436	-414.7728	0.08419975
500	924.0147	1338.118	-414.1037	0.08153822
600	949.4258	1363.816	-414.3904	0.07784125
700	935.5486	1350.335	-414.7863	0.0871938
800	955.728	1368.969	-413.2411	0.0847966
900	953.6185	1368.13	-414.5114	0.08637109
1000	964.9259	1377.439	-412.5131	0.08096693
