Iteration	Posterior	Likelihood	Prior	sigma
0	1194.815	1599.309	-404.494	0.07694772
100	1206.56	1612.12	-405.5605	0.07371413
200	1212.669	1616.543	-403.8745	0.07674782
300	1228.997	1634.084	-405.0872	0.07501643
400	1243.929	1649.799	-405.8704	0.07184044
500	1242.925	1646.515	-403.5902	0.07658075
600	1235.726	1640.929	-405.2025	0.0736568
700	1231.241	1637.147	-405.9064	0.07197875
800	1227.388	1632.647	-405.2589	0.07313259
900	1216.255	1622.528	-406.2726	0.07202454
1000	1213.674	1620.26	-406.5862	0.07385801
1100	1221.006	1626.202	-405.1965	0.0734258
1200	1229.528	1632.646	-403.1171	0.07802342
1300	1249.921	1654.02	-404.0992	0.07386359
1400	1261.092	1664.77	-403.6776	0.0756255
1500	1266.448	1668.271	-401.8229	0.08427475
1600	1242.854	1646.584	-403.7298	0.08069592
1700	1223.245	1628.446	-405.201	0.07533911
1800	1219.527	1623.799	-404.272	0.07912984
1900	1260.434	1664.36	-403.9253	0.07531661
2000	1254.254	1658.266	-404.012	0.07356047
2100	1219.012	1624.651	-405.6381	0.0790183
2200	1208.699	1615.819	-407.1196	0.07287678
2300	1212.544	1618.544	-405.9999	0.07748297
2400	1217.343	1624.21	-406.8667	0.07188367
2500	1237.462	1641.862	-404.3996	0.07914122
2600	1243.64	1648.203	-404.5636	0.07243224
2700	1229.619	1635.483	-405.8641	0.07577512
2800	1237.368	1642.093	-404.7253	0.07579134
2900	1220.11	1626.669	-406.5597	0.071891
3000	1222.2	1626.84	-404.6403	0.07182502
3100	1238.599	1643.547	-404.9484	0.07406303
3200	1223.427	1626.473	-403.0457	0.07798258
3300	1231.006	1634.631	-403.6253	0.07821061
3400	1241.566	1646.581	-405.0143	0.07809026
3500	1236.63	1642.039	-405.4091	0.07281515
3600	1246.355	1650.711	-404.3562	0.07503902
3700	1268.861	1671.744	-402.8823	0.07733967
3800	1269.495	1672.886	-403.3909	0.07432981
3900	1257.122	1662.245	-405.1229	0.07457914
4000	1265.767	1669.04	-403.2732	0.07424942
4100	1239.898	1644.432	-404.5342	0.07356166
4200	1227.07	1632.088	-405.0173	0.07355568
4300	1216.72	1620.888	-404.1687	0.07271185
4400	1224.173	1630.244	-406.0705	0.06996076
4500	1230.935	1635.373	-404.4371	0.07602174
4600	1226.879	1630.47	-403.5918	0.07688372
4700	1211.514	1615.17	-403.6556	0.0779623
4800	1209.605	1615.917	-406.3116	0.07584288
4900	1231.554	1636.679	-405.1241	0.07490299
