state	power	likelihood
260	7.776e-07	-2450.46
270	7.776e-07	-2616.41
280	7.776e-07	-1092.78
290	7.776e-07	-1936.2
300	7.776e-07	-3453.71
310	7.776e-07	-1929.18
320	7.776e-07	-2668.02
330	7.776e-07	-1408.43
340	7.776e-07	-129.122
350	7.776e-07	-2054.83
360	7.776e-07	-1182.45
370	7.776e-07	-535.65
380	7.776e-07	151.189
390	7.776e-07	-10074.4
400	7.776e-07	-906.779
410	7.776e-07	-3663.65
420	7.776e-07	-2365.19
430	7.776e-07	227.715
440	7.776e-07	-2343.99
450	7.776e-07	-864.126
460	7.776e-07	-500.936
470	7.776e-07	-340.834
480	7.776e-07	-721.243
490	7.776e-07	-826.669
500	7.776e-07	-4355.37
510	7.776e-07	-4815.11
520	7.776e-07	-33667.3
530	7.776e-07	-654.491
540	7.776e-07	-770.151
550	7.776e-07	-611.86
560	7.776e-07	-1294.87
570	7.776e-07	367.124
580	7.776e-07	-14791.1
590	7.776e-07	-461.477
600	7.776e-07	-2116.21
610	7.776e-07	-274.504
620	7.776e-07	-1209.09
630	7.776e-07	-1663.55
640	7.776e-07	-271027
650	7.776e-07	-620.702
660	7.776e-07	-3034.14
670	7.776e-07	-1243.04
680	7.776e-07	-1905.83
690	7.776e-07	-3104.37
700	7.776e-07	-874.018
710	7.776e-07	-131.806
720	7.776e-07	519.8
730	7.776e-07	619.953
740	7.776e-07	227.956
750	7.776e-07	65.5993
760	7.776e-07	284.15
770	7.776e-07	4.36749
780	7.776e-07	-2715.22
790	7.776e-07	-1178.57
800	7.776e-07	390.635
810	7.776e-07	-463.501
820	7.776e-07	134.106
830	7.776e-07	-3722.81
840	7.776e-07	-1205.16
850	7.776e-07	398.827
860	7.776e-07	-1236.63
870	7.776e-07	292.514
880	7.776e-07	-2953.92
890	7.776e-07	-1165.95
900	7.776e-07	-2882.49
910	7.776e-07	-1505.78
920	7.776e-07	-6076.57
930	7.776e-07	-517757
940	7.776e-07	-2949.6
950	7.776e-07	-26236.9
960	7.776e-07	104.148
970	7.776e-07	403.293
980	7.776e-07	-2774.48
990	7.776e-07	-2166.21
1000	7.776e-07	-575.21
