Iteration	Posterior	Likelihood	Prior	sigma
0	17.07186	439.0986	-422.0268	0.2193328
100	-198.1278	216.4154	-414.5432	0.2684839
200	-1182.818	-765.6318	-417.1862	1.321935
300	-70.68583	346.3436	-417.0294	0.2085212
400	-67.00105	350.2357	-417.2367	0.2014537
500	-156.4986	259.0411	-415.5396	0.3590182
600	13.67259	431.0656	-417.393	0.2622047
700	-575.0605	-159.0565	-416.004	0.6630859
800	-828.256	-409.5369	-418.7191	0.8146384
900	-223.5765	195.4077	-418.9843	0.3585109
1000	-35.87488	378.6984	-414.5733	0.2564843
