Iteration	Posterior	Likelihood	Prior	sigma
0	-1880.863	-1591.713	-289.1501	2.496029
100	633.2862	929.492	-296.2058	0.2824859
200	792.4445	1081.385	-288.9404	0.5422367
300	796.591	1081.762	-285.171	0.2118293
400	1001.524	1282.768	-281.2443	0.3536254
500	-29.78352	262.7139	-292.4974	0.9085123
600	840.7388	1120.696	-279.9571	0.5088739
700	515.1033	807.3438	-292.2405	0.2331674
800	1266.95	1574.345	-307.3953	0.2096558
900	615.2452	877.5705	-262.3253	0.7026711
1000	-80.9464	183.6169	-264.5633	0.5292824
