Iteration	Posterior	Likelihood	Prior	sigma
0	289.6943	601.6018	-311.9075	0.5912704
100	1141.991	1412.04	-270.0488	0.4196267
200	826.3302	1119.65	-293.3202	0.5518817
300	190.8519	471.202	-280.3501	0.8030836
400	1265.226	1564.078	-298.8517	0.2834781
500	135.6847	428.1861	-292.5014	0.8468952
600	-299.7683	-8.885655	-290.8826	0.3806394
700	-186.4534	110.9591	-297.4125	0.9342573
800	910.0428	1189.97	-279.9272	0.2930567
900	1167.961	1458.847	-290.8866	0.4478182
1000	507.1472	795.9329	-288.7858	0.7106857
