Iteration	Posterior	Likelihood	Prior	sigma
0	-3844.103	-3541.469	-302.6342	6.11088
100	-2026.815	-1755.458	-271.3575	2.933401
200	-640.7532	-350.0957	-290.6575	1.334323
300	428.3869	728.4969	-300.11	0.1904582
400	-2125.808	-1840.122	-285.6858	2.770903
500	-1010.323	-718.2607	-292.0628	1.657332
600	-6526.546	-6241.353	-285.1932	25.02371
700	-11627.35	-11350.65	-276.6998	327.7103
800	-10150.61	-9880.322	-270.2915	0.4784768
900	-1924.203	-1627.722	-296.4809	0.2631943
1000	-6791.037	-6505.126	-285.9106	0.1933864
