Iteration	Posterior	Likelihood	Prior	sigma
0	4450.806	4706.351	-255.5455	0.08109049
100	4476.469	4731.149	-254.6802	0.08209889
200	4485.751	4749.379	-263.6275	0.07581771
300	4486.881	4746.097	-259.2164	0.07992661
400	4426.577	4699.41	-272.8327	0.07602879
500	4414.27	4693.379	-279.1084	0.07161378
600	4429.439	4699.407	-269.9674	0.07642245
700	4442.309	4715.669	-273.3607	0.07466903
800	4408.615	4694.639	-286.0241	0.07061609
900	4429.011	4703.094	-274.0833	0.07141039
1000	4431.284	4712.924	-281.64	0.07066358
