Iteration	Posterior	Likelihood	Prior	sigma
0	1631.48	1924.136	-292.6559	0.3279733
100	627.5751	893.8747	-266.2996	0.4857446
200	1475.512	1777.203	-301.6911	0.2267043
300	1421.581	1714.704	-293.1228	0.2532067
400	1496.773	1795.938	-299.1656	0.2661052
500	491.5542	788.0148	-296.4607	0.6117195
600	1302.191	1591.566	-289.3749	0.3677677
700	600.5569	901.2811	-300.7241	0.4658385
800	1849.27	2122.318	-273.0483	0.2446729
900	1531.377	1822.81	-291.4328	0.2942918
1000	877.1633	1180.848	-303.6851	0.5362747
