Iteration	Posterior	Likelihood	Prior	sigma
0	4481.394	4746.928	-265.5341	0.0772756
100	4464.926	4739.518	-274.5918	0.07199513
200	4485.684	4755.764	-270.0803	0.07420853
300	4493.886	4756.686	-262.8005	0.07731609
400	4498.782	4762.102	-263.3194	0.07534501
500	4471.738	4745.4	-273.6617	0.07353129
600	4487.044	4750.349	-263.3051	0.07465112
700	4486.364	4758.515	-272.1501	0.07209697
800	4487.119	4756.742	-269.6222	0.07254963
900	4486.026	4757.483	-271.4566	0.07287398
1000	4487.641	4748.755	-261.114	0.07788452
1100	4499.13	4758.3	-259.1691	0.0816782
1200	4488.562	4758.539	-269.9778	0.07477678
1300	4501.405	4767.292	-265.8864	0.07280187
1400	4488.848	4759.354	-270.5055	0.0711882
1500	4489.202	4761.609	-272.4071	0.07398123
1600	4490.91	4758.982	-268.0719	0.07565964
1700	4481.071	4744.297	-263.2258	0.07443749
1800	4491.876	4758.392	-266.5159	0.07481289
1900	4504.731	4758.617	-253.8863	0.08137977
2000	4487.28	4752.091	-264.8104	0.07405381
2100	4482.609	4750.348	-267.7393	0.07512693
2200	4489.925	4753.865	-263.94	0.07670818
2300	4467.821	4748.42	-280.5999	0.07013591
2400	4448.637	4726.811	-278.1737	0.07259885
2500	4475.125	4747.937	-272.8121	0.07389041
2600	4486.539	4762.744	-276.2055	0.06983709
2700	4493.17	4754.082	-260.912	0.077098
2800	4486.379	4754.586	-268.2073	0.07350447
2900	4486.632	4751.137	-264.5049	0.07642756
3000	4488.18	4757.181	-269.0012	0.07299692
3100	4495.249	4753.119	-257.8704	0.07789488
3200	4523.11	4781.42	-258.3103	0.07582944
3300	4498.939	4761.345	-262.4058	0.07592336
3400	4522.361	4777.683	-255.3218	0.07833489
3500	4503	4772.386	-269.3866	0.07722403
3600	4489.516	4759.023	-269.5072	0.07451666
3700	4489.545	4753.011	-263.4655	0.07799262
3800	4505.598	4760.867	-255.2689	0.07850455
3900	4503.569	4763.452	-259.8821	0.07608601
4000	4517.195	4772.895	-255.7002	0.07755813
4100	4513.633	4772.965	-259.3324	0.07706213
4200	4509.057	4769.504	-260.4472	0.07716911
4300	4495.969	4765.563	-269.594	0.07133357
4400	4501.823	4767.31	-265.4866	0.0750482
4500	4512.269	4770.553	-258.284	0.07700651
4600	4501.594	4762.448	-260.8539	0.07627507
4700	4525.934	4774.635	-248.7011	0.08535279
4800	4489.387	4749.229	-259.8414	0.076854
4900	4493.138	4751.17	-258.032	0.08046682
5000	4494.752	4752.713	-257.9609	0.07915741
5100	4501.336	4755.961	-254.6253	0.07825134
5200	4478.518	4749.927	-271.4089	0.07600304
5300	4492.183	4747.868	-255.6849	0.0787912
5400	4497.583	4751.325	-253.742	0.0820488
5500	4495.922	4756.617	-260.695	0.07805958
5600	4502.099	4762.524	-260.4249	0.07941898
5700	4481.943	4746.227	-264.2847	0.07983568
5800	4490.768	4752.702	-261.934	0.0744796
5900	4501.821	4759.738	-257.9175	0.07641123
6000	4509.21	4773.202	-263.9914	0.07600884
6100	4512.31	4777.732	-265.4218	0.07646564
6200	4485.43	4760.284	-274.8536	0.07366527
6300	4514.28	4777.828	-263.5485	0.07395573
6400	4515.75	4778.878	-263.1287	0.07608936
6500	4521.565	4776.89	-255.3249	0.07751127
6600	4521.37	4771.447	-250.0765	0.08055517
6700	4523.552	4781.188	-257.6362	0.0778356
6800	4513.21	4767.611	-254.4015	0.07846937
6900	4535.087	4780.332	-245.2458	0.08338445
7000	4511.628	4773.76	-262.1316	0.07697885
7100	4496.696	4765.665	-268.9688	0.07323882
7200	4504.255	4770.003	-265.748	0.07496567
7300	4503.858	4768.411	-264.5529	0.07605227
7400	4504.175	4766.382	-262.207	0.07933067
7500	4494.783	4751.571	-256.7881	0.07644655
7600	4508.427	4767.24	-258.8133	0.077608
7700	4496.546	4757.435	-260.8894	0.07651007
7800	4500.95	4764.844	-263.8939	0.07433159
7900	4495.934	4763.097	-267.1634	0.07348087
8000	4491.293	4768.813	-277.5205	0.07071152
8100	4463.966	4747.699	-283.7327	0.06883972
8200	4504.912	4771.748	-266.8365	0.07851817
8300	4493.216	4750.762	-257.5461	0.07868639
8400	4506.562	4761.11	-254.5477	0.08052434
8500	4485.367	4748.662	-263.2959	0.07690716
8600	4472.373	4742.582	-270.2097	0.07563697
8700	4458.695	4741.827	-283.1322	0.07097346
8800	4469.014	4741.567	-272.5533	0.07121791
8900	4473.448	4745.585	-272.1365	0.07116168
9000	4460.369	4743.539	-283.1696	0.06879975
9100	4470.757	4746.832	-276.075	0.07152471
9200	4449.294	4728.219	-278.9249	0.07054739
9300	4496.09	4760.174	-264.0832	0.07476303
9400	4481.226	4739.179	-257.9531	0.07925177
9500	4487.41	4744.681	-257.2713	0.0777273
9600	4482.797	4739.592	-256.7947	0.07966936
9700	4478.586	4733.817	-255.2307	0.07957508
9800	4491.595	4753.6	-262.0056	0.07885764
9900	4504.892	4763.675	-258.7829	0.07683713
10000	4484.443	4747.246	-262.8024	0.07699874
10100	4487.808	4760.458	-272.65	0.07281893
10200	4482.558	4746.686	-264.1282	0.0742325
10300	4477.151	4740.349	-263.1977	0.07585383
10400	4474.843	4746.386	-271.5428	0.07211362
10500	4458.883	4728.549	-269.6659	0.07462914
10600	4471.78	4738.164	-266.3838	0.07571762
10700	4469.883	4734.604	-264.721	0.07554985
10800	4441.632	4714.247	-272.6147	0.07460714
10900	4450.343	4721.281	-270.9384	0.07288471
11000	4463.704	4731.62	-267.9165	0.07344935
11100	4451.411	4728.19	-276.7795	0.06954565
11200	4431.212	4715.28	-284.0686	0.06812065
11300	4458.022	4732.822	-274.7996	0.06928967
11400	4463.454	4724.047	-260.5929	0.07911479
11500	4485.175	4745.129	-259.9538	0.07698336
11600	4494.127	4754.966	-260.8385	0.07724101
11700	4490.484	4751.086	-260.6015	0.07859931
11800	4485.093	4747.924	-262.8317	0.07683236
11900	4481.767	4748.728	-266.9602	0.07423136
12000	4486.972	4746.227	-259.2552	0.07830247
12100	4490.48	4748.247	-257.7668	0.08030862
12200	4494.73	4744.767	-250.0364	0.08211346
12300	4505.679	4758.664	-252.9848	0.0798094
12400	4500.554	4761.965	-261.4106	0.07753376
12500	4500.498	4762.032	-261.5345	0.07724355
12600	4496.986	4754.597	-257.6108	0.08003616
12700	4513.681	4771.978	-258.2971	0.07888425
12800	4511.502	4765.634	-254.1318	0.07983121
12900	4490.463	4756.17	-265.7064	0.07561504
13000	4469.179	4743.804	-274.6253	0.07291522
13100	4482.996	4746.933	-263.9367	0.07556611
13200	4487.56	4749.581	-262.0209	0.07741984
13300	4472.434	4740.398	-267.9631	0.07679049
13400	4491.253	4757.789	-266.5362	0.07693051
13500	4502.594	4758.473	-255.8782	0.07754747
13600	4484.309	4750.938	-266.6284	0.07698133
13700	4491.287	4755.885	-264.5984	0.07407188
13800	4476.336	4746.749	-270.4133	0.0750286
13900	4487.403	4752.719	-265.3155	0.07567495
14000	4492.518	4760.475	-267.9571	0.07643082
14100	4487.346	4754.688	-267.3421	0.07502908
14200	4461.668	4738.811	-277.1431	0.06902048
14300	4471.573	4743.666	-272.0929	0.07504655
14400	4465.203	4732.891	-267.6881	0.07177203
14500	4476.906	4748.47	-271.5634	0.07549486
14600	4453.545	4739.516	-285.9712	0.06923525
14700	4464.664	4740.799	-276.1342	0.07281431
