Iteration	Posterior	Likelihood	Prior	sigma
0	-501.5646	-199.8983	-301.6664	0.207789
100	-4361.16	-4058.913	-302.2474	8.733059
200	-3543.763	-3256.811	-286.9518	5.683314
300	311.786	586.6514	-274.8655	0.7808856
400	365.502	656.4919	-290.9899	0.4608972
500	128.0661	437.0164	-308.9504	0.7346925
600	-1278.127	-980.3254	-297.802	1.829241
700	-5382.185	-5104.419	-277.7662	14.98274
800	-1978.889	-1695.412	-283.4766	2.661896
900	-7972.12	-7683.444	-288.6758	54.01212
1000	-24443.3	-24163	-280.2958	0.221131
