state	power	likelihood
260	1	4725.11
270	1	4723.3
280	1	4717.65
290	1	4727.55
300	1	4726.95
310	1	4722.99
320	1	4725.51
330	1	4725.69
340	1	4726.56
350	1	4728.9
360	1	4730.41
370	1	4731.91
380	1	4742.7
390	1	4735.7
400	1	4729.91
410	1	4722.59
420	1	4733.17
430	1	4727.85
440	1	4732.76
450	1	4735.76
460	1	4733.54
470	1	4736.5
480	1	4733.05
490	1	4729.83
500	1	4733.35
510	1	4722.47
520	1	4710.81
530	1	4707.67
540	1	4712.07
550	1	4715.06
560	1	4724.53
570	1	4725.77
580	1	4733.33
590	1	4728.17
600	1	4726.51
610	1	4734.45
620	1	4725.57
630	1	4727.91
640	1	4730.33
650	1	4734.74
660	1	4725.66
670	1	4715.26
680	1	4714.72
690	1	4725.41
700	1	4725.22
710	1	4713.75
720	1	4717.31
730	1	4707.03
740	1	4717.73
750	1	4716.05
760	1	4711.38
770	1	4703.1
780	1	4710.67
790	1	4704.14
800	1	4711.83
810	1	4698.17
820	1	4707.2
830	1	4709.83
840	1	4708.66
850	1	4699.6
860	1	4707.69
870	1	4707.22
880	1	4719.89
890	1	4722.52
900	1	4726.89
910	1	4724.91
920	1	4729.42
930	1	4732.99
940	1	4710.05
950	1	4727.62
960	1	4734.92
970	1	4722.9
980	1	4719.18
990	1	4729.47
1000	1	4730.89
