Iteration	Posterior	Likelihood	Prior	sigma
0	4359.608	4730.945	-371.337	0.05973333
100	4349.101	4721.167	-372.0657	0.0571309
200	4356.046	4728.162	-372.1167	0.05898439
300	4344.616	4718.152	-373.5354	0.05893264
400	4366.139	4737.619	-371.4799	0.06086636
500	4347.483	4721.012	-373.5288	0.05782291
600	4332.394	4705.334	-372.9403	0.05866915
700	4341.865	4713.457	-371.5921	0.06249671
800	4323.912	4696.743	-372.8308	0.05874873
900	4349.667	4718.564	-368.8975	0.06113326
1000	4358.983	4728.928	-369.9443	0.06077889
1100	4359.258	4728.566	-369.3087	0.06270883
1200	4337.372	4709.34	-371.9679	0.0590626
1300	4353.208	4723.466	-370.2585	0.06311554
1400	4361.109	4730.107	-368.9979	0.06162613
1500	4357.94	4727.724	-369.7838	0.05925162
1600	4357.006	4725.812	-368.8057	0.06323167
1700	4341.644	4712.092	-370.448	0.06142346
1800	4345.738	4716.162	-370.4236	0.05997135
1900	4352.109	4721.983	-369.874	0.06258464
2000	4341.606	4714.098	-372.492	0.05945416
2100	4336.683	4708.746	-372.0636	0.05948977
2200	4347.744	4717.598	-369.8542	0.06344854
2300	4340.859	4715.343	-374.4842	0.05535109
2400	4347.671	4719.353	-371.6822	0.06084496
2500	4343.436	4713.51	-370.0742	0.06266638
2600	4341.78	4713.585	-371.8051	0.06089125
2700	4363.114	4732.774	-369.6605	0.06230925
2800	4355.455	4726.182	-370.7278	0.05867079
2900	4358.963	4729.689	-370.7261	0.05976419
3000	4359.959	4729.724	-369.7648	0.06284976
3100	4373.782	4743.394	-369.6115	0.0633398
3200	4353.178	4722.851	-369.6736	0.06290491
3300	4360	4728.137	-368.1367	0.06418248
3400	4342.087	4713.733	-371.6463	0.06039514
3500	4353.126	4724.223	-371.0973	0.06011301
3600	4344.212	4715.349	-371.1374	0.06070357
3700	4377.496	4746.528	-369.0323	0.06253628
3800	4362.849	4732.209	-369.3598	0.06115286
3900	4363.186	4734.056	-370.8702	0.06180108
4000	4369.691	4736.801	-367.1092	0.06763442
4100	4365.847	4737.162	-371.3157	0.05938341
4200	4366.312	4736.465	-370.1526	0.05941853
4300	4368.7	4738.198	-369.498	0.06181376
