Iteration	Posterior	Likelihood	Prior	sigma
0	-2416.832	-2009.14	-407.6922	1.618795
100	814.9395	1226.748	-411.8082	0.2504663
200	-2641.167	-2231.715	-409.4519	1.878738
300	-4408.667	-3999.599	-409.0681	0.08426016
400	-31925.16	-31512.88	-412.278	0.05029282
500	-2529.497	-2121.561	-407.9363	1.839621
600	445.5916	860.294	-414.7024	0.3266011
700	-2245.632	-1831.032	-414.6003	1.483893
800	-9279.417	-8869.807	-409.6103	47.68367
900	-7092.876	-6683.058	-409.8188	17.24845
1000	-4331.705	-3922.581	-409.1241	4.413913
