Iteration	Posterior	Likelihood	Prior	sigma
0	2612.228	3026.887	-414.6591	0.08486873
100	2592.739	3007.54	-414.8006	0.08479664
200	2458.776	2869.934	-411.1587	0.09154969
300	2420.909	2834.925	-414.0166	0.09582525
400	2549.808	2966.153	-416.3448	0.07359898
500	2492.436	2905.566	-413.1306	0.08519084
600	2426.058	2846.099	-420.0405	0.08874602
700	2597.537	3019.88	-422.3437	0.08238991
800	2624.574	3039.501	-414.927	0.07691941
900	2594.765	3007.235	-412.4704	0.0869895
1000	2605.55	3025.767	-420.2177	0.08340352
