Iteration	Posterior	Likelihood	Prior	sigma
0	2828.812	3244.831	-416.0192	0.06980372
100	2805.744	3219.499	-413.7548	0.07751177
200	2824.931	3239.729	-414.7987	0.07130015
300	2855.675	3271.488	-415.8127	0.07185624
400	2876.209	3285.239	-409.0303	0.07296971
500	2855.476	3264.561	-409.0856	0.07232386
600	2878.003	3285.099	-407.0957	0.07853333
700	2835.375	3246.874	-411.4981	0.07430413
800	2706.039	3121.361	-415.3226	0.07591303
900	2754.827	3168.389	-413.5617	0.07829045
1000	2723.061	3137.232	-414.1709	0.07897684
