Iteration	Posterior	Likelihood	Prior	sigma
0	-402.1576	81.98442	-484.142	0.09973268
100	-352.3624	110.8099	-463.1723	0.09877923
200	-348.8336	110.9944	-459.8279	0.09670093
300	-398.4331	92.87996	-491.3131	0.09938007
400	-394.3753	83.42386	-477.7992	0.09774859
500	-382.1561	84.48524	-466.6413	0.0959902
600	-372.7926	94.81407	-467.6066	0.0948836
700	-422.8342	73.88893	-496.7231	0.09833163
800	-410.7079	76.60546	-487.3134	0.09985663
900	-378.3181	88.48743	-466.8055	0.09779122
1000	-412.173	84.67226	-496.8452	0.0987743
