state	power	likelihood
260	0.0205963	-113.869
270	0.0205963	-302.581
280	0.0205963	-108.171
290	0.0205963	-324.254
300	0.0205963	-281.714
310	0.0205963	-212.922
320	0.0205963	-359.022
330	0.0205963	-281.551
340	0.0205963	-189.116
350	0.0205963	-356.97
360	0.0205963	-422.39
370	0.0205963	-397.658
380	0.0205963	-197.247
390	0.0205963	-130.79
400	0.0205963	-95.0381
410	0.0205963	-104.288
420	0.0205963	-148.69
430	0.0205963	-412.243
440	0.0205963	-406.1
450	0.0205963	-279.705
460	0.0205963	-469.277
470	0.0205963	-254.914
480	0.0205963	-321.708
490	0.0205963	-201.776
500	0.0205963	-185.905
510	0.0205963	-398.169
520	0.0205963	-201.701
530	0.0205963	-231.401
540	0.0205963	-185.876
550	0.0205963	-90.8487
560	0.0205963	-392.626
570	0.0205963	-241
580	0.0205963	-392.217
590	0.0205963	-321.194
600	0.0205963	-201.117
610	0.0205963	-275.7
620	0.0205963	-351.778
630	0.0205963	-311.671
640	0.0205963	-138.77
650	0.0205963	-355.414
660	0.0205963	-352.091
670	0.0205963	-166.302
680	0.0205963	-115.618
690	0.0205963	-315.166
700	0.0205963	-279.464
710	0.0205963	-140.562
720	0.0205963	-582.646
730	0.0205963	-235.292
740	0.0205963	-558.203
750	0.0205963	-584.673
760	0.0205963	-522.807
770	0.0205963	-242.1
780	0.0205963	-579.358
790	0.0205963	-198.929
800	0.0205963	-336.381
810	0.0205963	-232.952
820	0.0205963	-252.063
830	0.0205963	-243.003
840	0.0205963	-77.3089
850	0.0205963	-357.099
860	0.0205963	-263.365
870	0.0205963	-629.322
880	0.0205963	-262.898
890	0.0205963	-314.964
900	0.0205963	-408.374
910	0.0205963	-457.608
920	0.0205963	-295.578
930	0.0205963	-216.62
940	0.0205963	-183.93
950	0.0205963	-340.093
960	0.0205963	-166.448
970	0.0205963	-181.187
980	0.0205963	-321.218
990	0.0205963	-180.651
1000	0.0205963	-152.455
