state	power	likelihood
260	0.00118814	-5218.25
270	0.00118814	-7266.55
280	0.00118814	-6391.72
290	0.00118814	-6400.18
300	0.00118814	-2216.51
310	0.00118814	-7237.2
320	0.00118814	-3530.23
330	0.00118814	-3905.98
340	0.00118814	-4086.92
350	0.00118814	-4909.28
360	0.00118814	-5481.1
370	0.00118814	-5915.86
380	0.00118814	-6776.03
390	0.00118814	-8424.44
400	0.00118814	-7719.58
410	0.00118814	-1634.86
420	0.00118814	-2309.53
430	0.00118814	-5406.72
440	0.00118814	-9810.09
450	0.00118814	-7547.78
460	0.00118814	-4697.33
470	0.00118814	-3820.22
480	0.00118814	-6888.97
490	0.00118814	-6369.05
500	0.00118814	-2718.83
510	0.00118814	-1910.15
520	0.00118814	-2658.72
530	0.00118814	-6443.4
540	0.00118814	-2892.1
550	0.00118814	-5209.41
560	0.00118814	-5226.74
570	0.00118814	-7310.83
580	0.00118814	-2505.09
590	0.00118814	-5301.75
600	0.00118814	-7764.47
610	0.00118814	-2117.14
620	0.00118814	-6850.04
630	0.00118814	-6411.42
640	0.00118814	-5920.23
650	0.00118814	-4055.42
660	0.00118814	-8272.67
670	0.00118814	-7778.29
680	0.00118814	-6876.34
690	0.00118814	-2787.68
700	0.00118814	-6074.27
710	0.00118814	-1263.16
720	0.00118814	-1280.02
730	0.00118814	-6079.34
740	0.00118814	-4859.45
750	0.00118814	-4392.8
760	0.00118814	-7380.89
770	0.00118814	-5797.44
780	0.00118814	-4842.95
790	0.00118814	-5736.5
800	0.00118814	-6285.06
810	0.00118814	-7289.67
820	0.00118814	-5261.72
830	0.00118814	-5884.37
840	0.00118814	-4368.44
850	0.00118814	-6918.21
860	0.00118814	-5727.51
870	0.00118814	-3446.52
880	0.00118814	-5100.96
890	0.00118814	-6678.84
900	0.00118814	-5100.12
910	0.00118814	-2315.56
920	0.00118814	-1793.24
930	0.00118814	-4217.8
940	0.00118814	-3867.56
950	0.00118814	-5404.27
960	0.00118814	-9556.98
970	0.00118814	-7045.85
980	0.00118814	-8351.79
990	0.00118814	-6406.18
1000	0.00118814	-5292.87
