Iteration	Posterior	Likelihood	Prior	sigma
0	-3151.355	-2660.536	-490.8191	0.09330089
100	-4298.189	-3859.344	-438.8445	0.09379913
200	-4638.189	-4182.24	-455.949	0.09767737
300	-1371.115	-901.5882	-469.5265	0.09409456
400	-3903.729	-3452.067	-451.6613	0.08451597
500	-6085.713	-5624.861	-460.8522	0.09446032
600	-7199.843	-6720.742	-479.1013	0.09796662
700	-4553.733	-4112.529	-441.2038	0.09826003
800	-3430.828	-2978.59	-452.2372	0.09495206
900	-4977.158	-4532.314	-444.8441	0.09303617
1000	-8788.545	-8341.546	-446.9989	0.09118021
