Iteration	Posterior	Likelihood	Prior	sigma
0	-480.9587	-19.54352	-461.4152	0.09570921
100	-533.5417	-66.54321	-466.9985	0.08794566
200	-578.9313	-104.1478	-474.7835	0.09781853
300	-499.2055	-29.46596	-469.7395	0.09265204
400	-547.8357	-77.43966	-470.3961	0.09973306
500	-531.4181	-51.18699	-480.2311	0.09909011
600	-490.6832	-9.623211	-481.06	0.09932144
700	-473.718	1.224656	-474.9426	0.0982518
800	-509.167	-35.60037	-473.5667	0.09993939
900	-546.7311	-54.66524	-492.0658	0.09782541
1000	-545.2509	-62.83364	-482.4172	0.09592469
