Iteration	Posterior	Likelihood	Prior	sigma
0	-455.8775	25.64482	-481.5223	0.09404193
100	-423.5946	49.60204	-473.1966	0.0946197
200	-472.7614	43.79398	-516.5554	0.09986985
300	-480.8093	14.99427	-495.8036	0.09899602
400	-431.5035	38.58702	-470.0905	0.09743861
500	-446.4951	26.41254	-472.9077	0.09989041
600	-448.4854	18.08103	-466.5665	0.09661076
700	-432.8108	37.7345	-470.5453	0.09336603
800	-435.6458	35.1976	-470.8434	0.09827377
900	-460.1877	18.84784	-479.0356	0.0987477
1000	-485.5862	6.196732	-491.7829	0.09943428
