Iteration	Posterior	Likelihood	Prior	sigma
0	-263644.4	-263209.8	-434.576	0.0342562
100	-26183.32	-25743.6	-439.7141	0.06709439
200	-2919948	-2919505	-442.9646	0.02009126
300	-104696.7	-104261.4	-435.3066	0.03997261
400	-19406.2	-18953.94	-452.2535	0.08084908
500	-43807.44	-43355.09	-452.3598	0.07061962
600	-920419.6	-919964.7	-454.9325	0.02009508
700	-131665.8	-131206.5	-459.3642	0.03992652
800	-309986.8	-309541.5	-445.3057	0.0402535
900	-351171.8	-350717.5	-454.2486	0.02692824
1000	-91058.04	-90619.59	-438.4528	0.05740142
