Iteration	Posterior	Likelihood	Prior	sigma
0	-364.1928	98.68678	-462.8795	0.09949507
100	-338.6273	115.1309	-453.7582	0.09251543
200	-345.457	126.7198	-472.1768	0.09894182
300	-340.9888	127.0368	-468.0255	0.09362415
400	-337.4295	140.5895	-478.019	0.09175257
500	-332.4145	128.464	-460.8785	0.0985349
600	-337.3825	137.584	-474.9665	0.08920446
700	-324.7007	140.9151	-465.6158	0.09935317
800	-318.5075	134.0658	-452.5733	0.09738107
900	-340.7595	134.1922	-474.9517	0.09635694
1000	-338.0835	142.5427	-480.6262	0.09847428
1100	-304.9127	150.6562	-455.569	0.09705198
1200	-314.4445	151.9974	-466.4419	0.09551616
1300	-319.7037	138.5752	-458.2788	0.0896791
1400	-312.2305	162.2454	-474.476	0.09235407
1500	-301.4945	159.6651	-461.1596	0.09414551
1600	-301.1523	156.3323	-457.4846	0.08733157
1700	-325.1322	147.5508	-472.683	0.09641582
1800	-332.2684	134.5998	-466.8682	0.0980704
1900	-319.8444	141.7596	-461.6041	0.09713463
2000	-337.1237	144.2665	-481.3902	0.09098083
2100	-302.3899	150.7142	-453.1041	0.09082148
2200	-325.4861	141.0034	-466.4895	0.08869551
2300	-277.2561	166.7401	-443.9962	0.09357213
2400	-329.3396	150.0145	-479.3541	0.09571545
2500	-322.391	157.9196	-480.3106	0.09744143
2600	-296.967	173.266	-470.233	0.09659789
2700	-291.8918	161.9192	-453.8111	0.09990829
2800	-317.747	158.6957	-476.4427	0.09995886
2900	-332.7333	144.3493	-477.0826	0.09447105
3000	-292.5703	151.0513	-443.6216	0.0981432
3100	-314.6216	141.9884	-456.61	0.09770404
3200	-332.0349	139.0701	-471.105	0.08727358
3300	-309.8289	155.7198	-465.5487	0.08598245
3400	-333.4235	149.2998	-482.7233	0.09961769
3500	-325.0384	146.5923	-471.6307	0.09962554
3600	-352.8899	148.3338	-501.2237	0.0961665
3700	-338.7829	142.3518	-481.1348	0.09467252
3800	-307.7687	145.3054	-453.0741	0.0961447
3900	-361.3899	113.2797	-474.6696	0.0979928
4000	-355.149	121.7857	-476.9347	0.09948407
4100	-332.8788	132.331	-465.2098	0.09740143
4200	-360.563	118.5306	-479.0936	0.09980681
4300	-321.3099	131.6423	-452.9521	0.09718355
4400	-327.0651	153.9427	-481.0079	0.09932722
4500	-338.2906	135.376	-473.6666	0.09727632
4600	-350.4728	139.4105	-489.8833	0.09233792
4700	-302.0763	158.0015	-460.0778	0.09783935
4800	-321.0976	149.7077	-470.8053	0.09296282
4900	-296.9375	160.5524	-457.4899	0.09594236
5000	-292.0206	169.7349	-461.7555	0.09686835
5100	-294.2464	168.0536	-462.3	0.09643843
5200	-324.5727	154.8437	-479.4164	0.09785358
5300	-316.4148	157.9571	-474.3719	0.08935269
5400	-339.1065	151.2731	-490.3797	0.09248955
5500	-332.6713	132.3311	-465.0024	0.09894034
5600	-336.0029	128.6121	-464.615	0.09959807
5700	-341.6412	130.0768	-471.7181	0.09923766
5800	-314.4527	136.652	-451.1046	0.09892762
5900	-344.5959	123.3369	-467.9328	0.0982497
6000	-336.3677	125.1353	-461.503	0.09995286
6100	-327.8904	139.9687	-467.8591	0.09794955
6200	-303.1211	152.9277	-456.0488	0.09548227
6300	-315.3542	150.8878	-466.2419	0.09475057
6400	-315.8054	148.6391	-464.4445	0.09961008
6500	-331.9789	158.2284	-490.2073	0.09921441
6600	-320.5761	139.425	-460.0011	0.08846709
6700	-311.0687	151.6685	-462.7372	0.09409794
6800	-317.7424	150.1699	-467.9124	0.09752128
6900	-323.8448	160.8919	-484.7367	0.09596586
7000	-313.1959	153.1496	-466.3455	0.09372273
7100	-328.1855	151.4182	-479.6037	0.09371558
7200	-336.9561	134.8071	-471.7632	0.09754922
7300	-307.2231	154.2752	-461.4983	0.09591446
7400	-328.9232	147.8663	-476.7895	0.09611492
7500	-312.2286	145.0778	-457.3064	0.09818622
7600	-311.6718	152.7988	-464.4707	0.09099073
7700	-324.1722	149.4803	-473.6526	0.08767048
7800	-332.8335	133.5393	-466.3728	0.08589321
7900	-350.8246	140.176	-491.0006	0.09062259
8000	-317.1134	147.6849	-464.7984	0.09816905
8100	-321.8572	150.4632	-472.3204	0.08680927
8200	-329.204	151.481	-480.685	0.09567887
8300	-333.2695	134.2577	-467.5271	0.08996547
8400	-322.8662	141.064	-463.9302	0.0970246
8500	-359.6046	142.5784	-502.1831	0.09881757
8600	-363.4908	134.0244	-497.5153	0.09951366
8700	-350.843	126.755	-477.598	0.09525861
8800	-339.3325	146.0815	-485.414	0.09943299
8900	-315.1444	161.0168	-476.1612	0.09577928
9000	-318.6409	160.3077	-478.9486	0.09934187
9100	-316.0706	160.7193	-476.7899	0.09984223
9200	-315.9998	148.1055	-464.1053	0.09825044
9300	-318.8119	167.6741	-486.486	0.09862747
9400	-295.731	157.1861	-452.9171	0.09971428
9500	-328.8198	167.0431	-495.8629	0.09075215
9600	-297.7259	157.7251	-455.451	0.09551639
9700	-316.0414	159.6502	-475.6916	0.08848229
9800	-311.0335	164.4819	-475.5154	0.0999438
9900	-294.0491	153.862	-447.9111	0.09431307
10000	-337.5327	133.2707	-470.8034	0.08342356
10100	-340.2051	126.4471	-466.6523	0.09517239
10200	-311.3034	147.4999	-458.8033	0.09128314
10300	-320.089	158.8034	-478.8924	0.09150457
10400	-327.3595	145.9466	-473.3062	0.0929614
10500	-324.6503	150.5118	-475.1621	0.08693547
10600	-282.0101	177.3637	-459.3738	0.09131915
10700	-291.6384	176.662	-468.3004	0.09951536
10800	-317.9044	164.2811	-482.1855	0.09867216
10900	-302.1796	172.9151	-475.0947	0.09599121
11000	-315.0598	158.4574	-473.5172	0.09416648
11100	-315.5915	154.5638	-470.1553	0.09432129
11200	-311.6424	153.523	-465.1654	0.09868883
11300	-320.6738	159.4723	-480.146	0.09151504
11400	-305.2433	153.6239	-458.8672	0.09736493
11500	-319.3214	158.9748	-478.2961	0.09232779
11600	-307.211	164.3322	-471.5432	0.09968952
11700	-295.4551	174.303	-469.7581	0.09871023
11800	-305.0113	163.8465	-468.8578	0.09978582
11900	-284.3391	169.6086	-453.9477	0.09953438
12000	-349.3616	139.7321	-489.0937	0.09603838
12100	-339.7861	136.3158	-476.102	0.09522912
12200	-315.262	149.9699	-465.2319	0.09308025
12300	-353.3897	141.5482	-494.9379	0.09889307
12400	-349.8309	128.3885	-478.2194	0.09839722
12500	-341.3619	139.8247	-481.1866	0.08781397
12600	-343.7032	133.2122	-476.9154	0.08601634
12700	-325.7928	146.4189	-472.2118	0.09968136
12800	-332.856	147.3835	-480.2395	0.09511358
12900	-319.9194	161.7743	-481.6937	0.08277583
13000	-336.4777	149.5062	-485.9839	0.09881547
13100	-336.4881	148.6483	-485.1364	0.09708777
13200	-336.9526	149.5309	-486.4835	0.09899814
13300	-315.3062	158.5281	-473.8343	0.08252861
13400	-305.199	163.5804	-468.7794	0.09312358
13500	-306.9517	170.0699	-477.0216	0.08667238
13600	-348.0446	147.4993	-495.5438	0.09401877
13700	-328.9031	151.7488	-480.6519	0.09226083
13800	-316.0646	162.8742	-478.9388	0.09241081
13900	-307.9452	154.6381	-462.5833	0.0975256
14000	-337.8233	134.0588	-471.8821	0.09974718
14100	-338.189	143.7432	-481.9322	0.09540058
14200	-352.0915	137.9897	-490.0813	0.09905449
14300	-350.6892	145.5302	-496.2194	0.08908584
14400	-328.4235	136.4698	-464.8933	0.09354232
14500	-330.8938	145.8147	-476.7085	0.09364072
14600	-321.5517	144.2408	-465.7926	0.09134577
14700	-331.8739	151.3703	-483.2441	0.08845142
14800	-351.1771	136.9038	-488.0809	0.08002047
14900	-336.5211	142.5034	-479.0245	0.09777922
15000	-344.2271	151.8306	-496.0577	0.09528743
15100	-325.5847	147.4515	-473.0362	0.09478762
15200	-321.375	152.5701	-473.9451	0.09817299
15300	-330.3322	149.0573	-479.3895	0.09336311
15400	-346.7961	135.6007	-482.3968	0.09729975
15500	-328.8682	135.8791	-464.7473	0.09918483
15600	-329.851	130.7509	-460.6019	0.09878997
15700	-336.5998	127.6182	-464.218	0.09584791
15800	-342.8522	133.0498	-475.902	0.09448996
15900	-319.6266	137.9275	-457.5541	0.09636272
16000	-332.6651	135.8302	-468.4952	0.09540832
16100	-344.6333	138.5162	-483.1495	0.09580382
16200	-322.1149	132.8944	-455.0092	0.09901716
16300	-353.1386	124.3931	-477.5317	0.0993826
16400	-362.976	125.9189	-488.8949	0.0994147
16500	-331.8746	138.6562	-470.5308	0.09981402
16600	-304.7588	162.3098	-467.0686	0.09481101
16700	-326.9012	153.9819	-480.8831	0.09983821
16800	-322.687	143.6125	-466.2995	0.09194141
16900	-308.7641	155.941	-464.7051	0.09766004
17000	-326.762	155.0525	-481.8145	0.0937477
17100	-317.3635	151.3095	-468.673	0.09881994
17200	-295.4765	166.8237	-462.3001	0.09929451
17300	-317.5512	156.9004	-474.4516	0.08744527
17400	-297.896	159.995	-457.891	0.09974106
17500	-325.7987	162.4472	-488.2459	0.09635306
17600	-304.5939	160.1358	-464.7297	0.09186796
17700	-296.557	166.3008	-462.8578	0.09745136
17800	-301.6656	164.6266	-466.2922	0.09649888
17900	-318.0914	138.1289	-456.2203	0.09894117
18000	-346.4535	138.6583	-485.1119	0.09425054
18100	-317.7697	142.3909	-460.1606	0.09197042
18200	-316.0123	149.9744	-465.9868	0.08820712
18300	-339.7607	135.0664	-474.8272	0.0954153
18400	-336.211	151.9881	-488.1991	0.09820861
