Iteration	Posterior	Likelihood	Prior	sigma
0	-609.2885	-140.07	-469.2185	0.09747856
100	-594.7263	-124.8663	-469.8601	0.09959401
200	-630.0319	-159.6372	-470.3947	0.09961529
300	-678.0835	-191.7845	-486.299	0.09967503
400	-630.8168	-165.8793	-464.9375	0.09870698
500	-669.8751	-198.2918	-471.5833	0.09614217
600	-757.5752	-291.5397	-466.0356	0.09657395
700	-586.1549	-116.7544	-469.4005	0.09881461
800	-1084.946	-616.2459	-468.6997	0.09845212
900	-764.1048	-309.9919	-454.1129	0.09726812
1000	-646.0186	-179.049	-466.9696	0.09918087
