Iteration	Posterior	Likelihood	Prior	sigma
0	-434.897	56.24942	-491.1464	0.08964151
100	-432.2035	50.08637	-482.2899	0.09972243
200	-420.0534	56.85001	-476.9034	0.09883299
300	-398.9539	72.89738	-471.8513	0.09980358
400	-391.7088	66.87548	-458.5843	0.09932636
500	-402.8755	71.5776	-474.4531	0.09606593
600	-416.8702	62.61104	-479.4812	0.09569329
700	-411.6401	58.71534	-470.3555	0.09598899
800	-401.5721	80.12776	-481.6999	0.09416305
900	-406.87	69.03102	-475.901	0.09884999
1000	-415.9299	58.46695	-474.3969	0.09246819
