Iteration	Posterior	Likelihood	Prior	sigma
0	-533.7002	-57.56035	-476.1399	0.0896365
100	-620.1148	-147.0874	-473.0274	0.09783036
200	-563.432	-107.9921	-455.4399	0.09899278
300	-586.204	-141.7616	-444.4424	0.09971287
400	-710.3862	-241.4303	-468.9558	0.09942835
500	-683.2062	-227.6663	-455.5399	0.09517458
600	-628.8604	-173.6334	-455.2271	0.09914483
700	-609.1849	-117.6869	-491.498	0.08671387
800	-511.4165	-31.52806	-479.8884	0.09999083
900	-593.5448	-95.18368	-498.3612	0.0937217
1000	-637.5502	-158.5384	-479.0118	0.0889685
