Iteration	Posterior	Likelihood	Prior	sigma
0	-698.8019	-235.6227	-463.1792	0.09311205
100	-678.3487	-191.1574	-487.1914	0.09955762
200	-740.8974	-257.204	-483.6934	0.09967803
300	-746.1489	-281.7136	-464.4353	0.08774573
400	-576.8768	-95.03812	-481.8387	0.09774692
500	-665.1493	-185.9049	-479.2443	0.09418233
600	-669.8406	-201.1172	-468.7234	0.09737404
700	-741.053	-279.4645	-461.5886	0.09662684
800	-791.6817	-336.3811	-455.3006	0.09844015
900	-878.5841	-408.3737	-470.2104	0.096696
1000	-637.998	-152.4549	-485.5431	0.09994629
