Iteration	Posterior	Likelihood	Prior	sigma
0	-536.1318	-83.57029	-452.5615	0.09795522
100	-547.7429	-83.03103	-464.7119	0.09902738
200	-545.385	-79.53381	-465.8512	0.09656789
300	-531.1111	-81.01717	-450.0939	0.09938828
400	-569.286	-99.04199	-470.244	0.09880759
500	-682.2738	-218.717	-463.5568	0.08697352
600	-576.9201	-90.3923	-486.5279	0.09701088
700	-597.9702	-127.0039	-470.9664	0.09769591
800	-487	-11.50402	-475.4959	0.08939963
900	-561.5636	-86.79576	-474.7679	0.09661214
1000	-519.4318	-58.22335	-461.2084	0.09868168
