state	power	likelihood
260	0.37074	4271.35
270	0.37074	4243.71
280	0.37074	4248.03
290	0.37074	4212.38
300	0.37074	4226.74
310	0.37074	4231.94
320	0.37074	4263.22
330	0.37074	4283.48
340	0.37074	4253.88
350	0.37074	4256.98
360	0.37074	4278.8
370	0.37074	4261.34
380	0.37074	4244.26
390	0.37074	4234.37
400	0.37074	4255.9
410	0.37074	4206.47
420	0.37074	4224.29
430	0.37074	4225.32
440	0.37074	4230.66
450	0.37074	4239.53
460	0.37074	4231.27
470	0.37074	4248.74
480	0.37074	4273.34
490	0.37074	4303.13
500	0.37074	4275.7
510	0.37074	4287.64
520	0.37074	4296.37
530	0.37074	4305.48
540	0.37074	4300.5
550	0.37074	4301.21
560	0.37074	4319.64
570	0.37074	4284.58
580	0.37074	4285.19
590	0.37074	4279
600	0.37074	4289.88
610	0.37074	4271.62
620	0.37074	4258.81
630	0.37074	4239.1
640	0.37074	4268.98
650	0.37074	4267.09
660	0.37074	4282.18
670	0.37074	4257.88
680	0.37074	4246.7
690	0.37074	4239.52
700	0.37074	4243.4
710	0.37074	4243.52
720	0.37074	4265.63
730	0.37074	4263.09
740	0.37074	4278.95
750	0.37074	4288.84
760	0.37074	4255.75
770	0.37074	4213.24
780	0.37074	4212.68
790	0.37074	4225.42
800	0.37074	4236.99
810	0.37074	4268.4
820	0.37074	4249.66
830	0.37074	4235.01
840	0.37074	4232.42
850	0.37074	4204.42
860	0.37074	4219.25
870	0.37074	4212.93
880	0.37074	4229.89
890	0.37074	4203.78
900	0.37074	4187.33
910	0.37074	4183.58
920	0.37074	4213.66
930	0.37074	4235.91
940	0.37074	4225.09
950	0.37074	4216.46
960	0.37074	4208.96
970	0.37074	4248.45
980	0.37074	4212.1
990	0.37074	4229.96
1000	0.37074	4230.71
