Iteration	Posterior	Likelihood	Prior	sigma
0	475.2766	889.1612	-413.8846	0.3553361
100	-1870.56	-1454.434	-416.1261	1.181299
200	1458.905	1874.453	-415.5484	0.120263
300	913.5143	1326.964	-413.4499	0.2198736
400	-306.8259	108.6144	-415.4403	0.2001029
500	-4255.109	-3842.946	-412.1629	4.154131
600	-2152.673	-1734.305	-418.368	1.373487
700	-5668.096	-5254.375	-413.7207	8.025475
800	-712.2289	-300.3315	-411.8974	0.6300344
900	-4507.807	-4093.28	-414.5267	4.374523
1000	294.6224	708.8721	-414.2497	0.0870418
