Iteration	Posterior	Likelihood	Prior	sigma
0	4326.631	4715.047	-388.4158	0.058919
100	4297.095	4685.556	-388.4603	0.05811568
200	4315.601	4703.714	-388.1131	0.05907839
300	4337.625	4723.594	-385.969	0.0627008
400	4319.525	4707.328	-387.8029	0.05991938
500	4316.492	4704.402	-387.9097	0.05877824
600	4321.661	4708.808	-387.147	0.06086809
700	4332.781	4719.378	-386.5971	0.06276486
800	4321.971	4709.48	-387.5092	0.06200219
900	4317.558	4704.859	-387.3009	0.06107166
1000	4309.587	4697.533	-387.9463	0.06113255
1100	4304.724	4694.485	-389.7605	0.0561549
1200	4332.615	4720.586	-387.9706	0.05886897
1300	4311.891	4700.547	-388.656	0.0573275
1400	4305.733	4693.238	-387.5052	0.06080125
1500	4321.713	4710.069	-388.3559	0.05799062
1600	4337.866	4723.809	-385.9428	0.06436815
1700	4308.459	4696.841	-388.3819	0.05976342
1800	4324.032	4711.777	-387.7443	0.06009273
1900	4301.788	4691.008	-389.2201	0.05924516
2000	4325.845	4713.778	-387.9332	0.060309
2100	4308.576	4699.367	-390.7907	0.05489774
2200	4304.793	4695.271	-390.4781	0.05559989
2300	4313.619	4702.588	-388.9694	0.06083658
2400	4303.208	4692.982	-389.7746	0.05600101
2500	4328.814	4717.484	-388.6701	0.05994108
2600	4318.255	4706.949	-388.6944	0.05726346
2700	4344.165	4731.037	-386.8723	0.06027668
2800	4340.751	4728.355	-387.6038	0.05976479
2900	4344.701	4732.2	-387.4987	0.05999002
3000	4331.456	4719.311	-387.8553	0.05756189
3100	4341.557	4728.644	-387.087	0.06061972
3200	4340.042	4727.322	-387.28	0.06020714
3300	4333.782	4722.729	-388.9469	0.05688737
3400	4341.063	4728.928	-387.8655	0.05931918
3500	4327.638	4715.785	-388.1471	0.05741337
3600	4338.876	4725.321	-386.4444	0.06019062
3700	4310.987	4699.686	-388.6998	0.0572814
3800	4330.692	4718.711	-388.0188	0.0581895
3900	4322.364	4710.468	-388.1036	0.05896202
4000	4342.875	4729.983	-387.1083	0.0600419
4100	4336.657	4722.75	-386.0938	0.06399499
4200	4343.669	4730.039	-386.3698	0.05952834
4300	4341.781	4728.901	-387.12	0.06238558
4400	4332.634	4721.002	-388.3688	0.05978355
4500	4334.363	4720.474	-386.1105	0.06270526
4600	4329	4715.237	-386.2366	0.06149231
4700	4313.365	4702.164	-388.7991	0.05942522
4800	4320.02	4708.367	-388.3473	0.05948088
4900	4320.649	4708.349	-387.7001	0.06223676
5000	4331.546	4719.146	-387.6006	0.0616369
5100	4319.789	4707.144	-387.3548	0.06010638
5200	4330.917	4717.042	-386.1253	0.06259032
5300	4319.453	4707.855	-388.4021	0.0589884
5400	4319.094	4707.93	-388.8365	0.05923644
5500	4296.697	4687.167	-390.4697	0.05565722
5600	4301.765	4690.645	-388.8797	0.05845942
5700	4316.818	4706.71	-389.8918	0.05447424
5800	4309.025	4697.485	-388.4594	0.05716869
5900	4325.338	4713.536	-388.1983	0.06055475
6000	4324.385	4712.858	-388.4728	0.05857517
6100	4325.495	4712.659	-387.1641	0.06270157
6200	4323.392	4710.226	-386.8344	0.06182498
6300	4333.548	4721.034	-387.4865	0.06073701
6400	4328.816	4716.654	-387.8371	0.06052324
6500	4319.895	4708.078	-388.1833	0.05925632
6600	4323.69	4712.217	-388.5261	0.05889225
6700	4332.843	4721.411	-388.5679	0.05881925
6800	4306.299	4696.473	-390.174	0.05743501
6900	4347.286	4735.456	-388.1701	0.05945605
7000	4337.676	4725.089	-387.4137	0.06121845
7100	4324.254	4712.128	-387.8744	0.05748468
7200	4333.043	4720.844	-387.8009	0.059021
7300	4346.503	4734.738	-388.2351	0.05698452
7400	4348.631	4736.005	-387.3747	0.05908519
7500	4326.291	4714.912	-388.6208	0.06001024
7600	4318.793	4707.295	-388.5028	0.05961479
7700	4307.696	4695.871	-388.175	0.05935252
7800	4300.195	4689.404	-389.2087	0.05773368
7900	4310.264	4699.076	-388.8119	0.06041252
8000	4334.831	4723.162	-388.3315	0.05918076
