Iteration	Posterior	Likelihood	Prior	sigma
0	2538.994	2961.812	-422.8184	0.07226739
100	2510.287	2930.005	-419.7179	0.07732547
200	2323.193	2743.469	-420.2759	0.09241892
300	2252.171	2669.2	-417.0286	0.09557464
400	2289.006	2707.112	-418.1064	0.09472358
500	2537.319	2955.978	-418.6587	0.08143428
600	2152.65	2567.04	-414.3898	0.0991179
700	2364.381	2785.043	-420.6628	0.08068158
800	2370.757	2793.516	-422.7599	0.08796668
900	2314.386	2735.066	-420.6805	0.07705946
1000	2506.606	2927.177	-420.5703	0.08060884
