Iteration	Posterior	Likelihood	Prior	sigma
0	3687.918	4097.072	-409.154	0.05107271
100	3643.521	4057.065	-413.544	0.05096934
200	3546.143	3957.355	-411.2117	0.05354594
300	3642.584	4054.879	-412.2954	0.05288549
400	3637.978	4050.921	-412.9431	0.04746345
500	3684.365	4092.205	-407.8404	0.05169289
600	3748.893	4152.661	-403.7676	0.05545466
700	3573.377	3984.283	-410.9061	0.05315456
800	3564.421	3973.566	-409.1446	0.05587847
900	3564.309	3974.979	-410.6698	0.05359243
1000	3627.397	4030.777	-403.3792	0.05891405
