state	power	likelihood
260	1	4726.19
270	1	4729.73
280	1	4739.62
290	1	4733.61
300	1	4729.45
310	1	4736.74
320	1	4726.91
330	1	4733.58
340	1	4723.31
350	1	4722.1
360	1	4723.04
370	1	4723.05
380	1	4721.62
390	1	4721.74
400	1	4715.03
410	1	4720.37
420	1	4724.43
430	1	4731.31
440	1	4724.25
450	1	4720.58
460	1	4731.99
470	1	4723.85
480	1	4720.32
490	1	4736.17
500	1	4738.21
510	1	4742.36
520	1	4744.04
530	1	4744.13
540	1	4738.25
550	1	4745.45
560	1	4743.42
570	1	4748.84
580	1	4733.31
590	1	4730.33
600	1	4724.02
610	1	4740.51
620	1	4737.53
630	1	4733.95
640	1	4738.42
650	1	4742.25
660	1	4738.79
670	1	4727.78
680	1	4729.55
690	1	4742.86
700	1	4729.35
710	1	4734.29
720	1	4730.52
730	1	4720.03
740	1	4723.02
750	1	4726.95
760	1	4729.2
770	1	4724.67
780	1	4731.94
790	1	4718.56
800	1	4725.74
810	1	4715.16
820	1	4714.66
830	1	4716.86
840	1	4719.74
850	1	4729.35
860	1	4719.86
870	1	4732.9
880	1	4721.44
890	1	4716.14
900	1	4704.14
910	1	4709.27
920	1	4713.88
930	1	4720.1
940	1	4722.59
950	1	4722.12
960	1	4720.83
970	1	4723.1
980	1	4717.31
990	1	4706.9
1000	1	4704.58
