state	power	likelihood
260	0.07776	2763.57
270	0.07776	2773.62
280	0.07776	2811.41
290	0.07776	2692.42
300	0.07776	2669.2
310	0.07776	2790.13
320	0.07776	2671.75
330	0.07776	2771.83
340	0.07776	2782.1
350	0.07776	2727.95
360	0.07776	2777.06
370	0.07776	2719.12
380	0.07776	2685.58
390	0.07776	2670.67
400	0.07776	2707.11
410	0.07776	2769.13
420	0.07776	2898.46
430	0.07776	2820.27
440	0.07776	2687.08
450	0.07776	2841.47
460	0.07776	2864.33
470	0.07776	2822.88
480	0.07776	2870.49
490	0.07776	2899.65
500	0.07776	2955.98
510	0.07776	2946.98
520	0.07776	2888.24
530	0.07776	2797.8
540	0.07776	2755.66
550	0.07776	2763.33
560	0.07776	2741.4
570	0.07776	2610.78
580	0.07776	2610.74
590	0.07776	2631.9
600	0.07776	2567.04
610	0.07776	2657.05
620	0.07776	2636.9
630	0.07776	2641.59
640	0.07776	2603.37
650	0.07776	2625.59
660	0.07776	2541.52
670	0.07776	2621.31
680	0.07776	2714.18
690	0.07776	2745.68
700	0.07776	2785.04
710	0.07776	2822.84
720	0.07776	2733.34
730	0.07776	2888.07
740	0.07776	2828.64
750	0.07776	2816.05
760	0.07776	2727.64
770	0.07776	2653.22
780	0.07776	2753.54
790	0.07776	2823.69
800	0.07776	2793.52
810	0.07776	2773.81
820	0.07776	2619.12
830	0.07776	2651.98
840	0.07776	2757.71
850	0.07776	2794.02
860	0.07776	2777.64
870	0.07776	2815.99
880	0.07776	2763.6
890	0.07776	2716.14
900	0.07776	2735.07
910	0.07776	2870.43
920	0.07776	2837.53
930	0.07776	2857.84
940	0.07776	2851.83
950	0.07776	2885.25
960	0.07776	2791.25
970	0.07776	2769.29
980	0.07776	2862.61
990	0.07776	2925.39
1000	0.07776	2927.18
