Iteration	Posterior	Likelihood	Prior	sigma
0	181.0427	594.4511	-413.4084	0.4102107
100	-7297.885	-6881.791	-416.0939	16.92508
200	-1958.362	-1538.379	-419.9832	1.161762
300	-3649.477	-3230.373	-419.1036	2.780551
400	-980.5045	-562.7386	-417.7659	0.7330254
500	-5409.781	-4988.262	-421.5194	6.367135
600	-7525.033	-7112.782	-412.2516	20.00161
700	-5329.728	-4916.524	-413.2037	6.713293
800	-1760.422	-1346.322	-414.1003	1.144718
900	-5105.078	-4691.619	-413.4589	6.217484
1000	-7789.721	-7373.145	-416.5763	21.83411
