state	power	likelihood
260	0.0164916	2233.97
270	0.0164916	2321.21
280	0.0164916	2462.78
290	0.0164916	2446.8
300	0.0164916	2372.23
310	0.0164916	2237.46
320	0.0164916	2395.4
330	0.0164916	2326.24
340	0.0164916	2104.76
350	0.0164916	2136.87
360	0.0164916	2277.51
370	0.0164916	2181.28
380	0.0164916	2016.8
390	0.0164916	2242.8
400	0.0164916	2091.27
410	0.0164916	1775.11
420	0.0164916	2142.39
430	0.0164916	1941.26
440	0.0164916	1843.94
450	0.0164916	2022.99
460	0.0164916	2122.73
470	0.0164916	2464.99
480	0.0164916	2425.35
490	0.0164916	2268.74
500	0.0164916	2203.38
510	0.0164916	2288.52
520	0.0164916	2362.52
530	0.0164916	2285.16
540	0.0164916	2341.1
550	0.0164916	2273.65
560	0.0164916	2260.28
570	0.0164916	2242.55
580	0.0164916	2282.65
590	0.0164916	2160.08
600	0.0164916	2140.33
610	0.0164916	2153.31
620	0.0164916	2101.09
630	0.0164916	2234.04
640	0.0164916	2285.73
650	0.0164916	2156.49
660	0.0164916	2220.55
670	0.0164916	2101.48
680	0.0164916	1930.65
690	0.0164916	2243.12
700	0.0164916	2135.46
710	0.0164916	2163.72
720	0.0164916	2196.75
730	0.0164916	2235.78
740	0.0164916	2138.18
750	0.0164916	2107.1
760	0.0164916	2270.85
770	0.0164916	2099.54
780	0.0164916	2285.84
790	0.0164916	2160.77
800	0.0164916	2286.85
810	0.0164916	2392.2
820	0.0164916	2313.47
830	0.0164916	2176.04
840	0.0164916	2261.31
850	0.0164916	1937.47
860	0.0164916	2280.94
870	0.0164916	1979.77
880	0.0164916	2009.14
890	0.0164916	1847.93
900	0.0164916	2128.14
910	0.0164916	2168.85
920	0.0164916	2068.37
930	0.0164916	2110.74
940	0.0164916	2124.08
950	0.0164916	2128.57
960	0.0164916	2036.69
970	0.0164916	1892.83
980	0.0164916	2003.8
990	0.0164916	2177.99
1000	0.0164916	2155.32
