rowname,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
FR_02_02_01_EBA-2,-0.09024134885092248,-0.13272258743203846,-0.005742179852423168,-0.08875031988336296,-0.00711291945300071,0.0226762051954786,-0.009098572708660836,0.0022550905436600445,0.022361587701291184,-0.038540314673817314,-8.816169434944435e-4,0.0011912262343635955,-0.009264694577876422,-0.02436745422786645,0.001880152860976795,-0.005699715544134917
FR_02_02_02_EBA-2,0.010022902847513084,-0.10172595690286154,0.05531105113148035,-0.09715514482769454,0.007353041822574708,0.022159829269884763,-0.007160405361388665,-0.007466575911429787,0.008873106945718474,-0.0053549359664979215,0.005111410302174535,-0.007749624501305412,-0.005824151349113512,-0.004946323325244485,0.004348864753193134,-0.007467741456690914
FR_02_02_03_EBA-2,0.1356537504106581,-0.09019231837964886,0.03826937812692998,-0.0453307498148661,0.010047065397280338,-0.024373692064533225,-0.011411215021658152,-0.013844009737338897,-0.007722430930278956,0.01931470457104392,-0.008785538118131903,5.64636934998116e-4,0.0029473780378798512,-0.00322113616227594,0.0037425546928836445,-0.010298920605700819
FR_02_02_04_EBA-2,0.07944493571539807,0.010529974751136801,0.0206581978353109,-0.06416740029451927,0.02355628674236167,0.020293575159797805,-0.02490954485470251,-0.039309345613668716,0.013668679953232113,-0.007751221585002627,0.002410485224102485,-0.015464263298230738,-0.0027949805161136044,-0.0022354057249596338,0.013324933464061,8.726819872864187e-4
FR_02_02_05_EBA-2,0.09489425352500568,-0.06387071516764299,0.00611943619692984,-0.0583432415953893,0.017508177183729753,0.0731561003270708,-0.008138596747463488,-0.03622675918227283,-0.0063788834639285415,-0.0061029718291498915,-0.0012588119157277552,0.0028036837819638365,0.007888036032457602,0.002593068868638533,0.0051848697552561215,-0.008925992191655031
FR_02_02_06_EBA-2,0.0473482413925995,-0.08059594287670072,0.042935199147649226,-0.08368401636895091,0.01079302351860313,0.02079074740607816,-0.004670744505228656,-0.0033188307660190408,-0.004403979167264797,-0.0037417056956231894,0.0014387816224470476,-0.004399190097948607,-7.357730713976402e-5,0.0015054556813162143,0.00724689058137096,-0.002714854706844526
FR_02_01_00_EBA-2,0.02751947804126871,-0.060595062429542546,0.039365404617474474,-0.07807985193415105,0.018297169375873664,-0.010003438407761365,0.02510769109804769,-0.002884833496277335,0.010740668935141334,0.0037499656448531865,-0.014536953867511677,-0.005765654426355012,-0.006687746534224955,0.003733558352093425,-6.725769433045479e-4,-0.0030054192066151925
FR_02_10_00_EBA-2,0.09815260988504126,0.008095076207043153,0.020239920691461476,-0.06491905768687957,0.014121619988084581,0.004676643152392881,-0.02115821606887649,-0.008903435825773026,0.010198190902405983,-0.004834009124425775,0.004535594188873489,-0.008475894347841994,0.003784060415839733,0.00923014137137489,0.011668205539924115,0.006990220293223729
FR_02_11_00_EBA-2,-0.04530542709173655,-0.04556472920228697,0.0019795553770343235,-0.07545214213656834,0.027023240940285548,-0.01323662356066095,0.011130438567128111,0.0031726030159093953,0.028253858951741623,-0.021537922206946156,0.01364862730537065,-0.0021815966422153274,-0.015466059201431223,2.5351174898084885e-4,-0.003064153768361603,0.003654828602286099
FR_02_02_00_EBA-2,-0.03251172443488533,-0.034779142363624,-0.007791893106913185,-0.0767722917951381,-0.012626106651288493,-0.027924668122258217,0.016687430556182395,0.01159747166976117,0.01577528942028383,-0.0093433899197718,0.00787096601392812,-0.0040209038253343965,-0.01446516883631263,-0.0075726132532092615,-0.005734647545094981,0.0048215571496509025
FR_02_03_00_EBA-2,-0.028238137729414886,-0.09859274476931859,-0.04941864390156815,-0.07597804668283058,0.017038187332595902,-0.006044000679994869,4.885504225008318e-4,-0.00858218275215056,0.01607457475546375,-0.032478017744513275,0.009815423324493765,0.008827356364484293,-0.01300465582828978,0.0016085633431981296,-0.009037327595450445,-0.014034668474285738
FR_02_04_00_EBA-2,-0.07733865955814913,-0.08670020091414148,0.006606161731334824,-0.0928978533005562,0.004900957727949468,-0.009694870677864917,-0.007394262302953893,0.02000359137918218,0.017552884722271917,-0.0325203681487619,0.013766231811970328,0.002956227058849231,-0.01869796508999613,-6.77857230291573e-4,-1.5920101289296692e-4,0.0045546720018781505
FR_02_05_00_EBA-2,-0.011843762494004291,0.038057321299880244,0.030122371004889376,-0.06919525612735039,0.016016321956209525,0.011070547223561532,0.02388025498296687,0.010866263843327395,0.020454068700445256,-0.005836354937770799,-0.011174674451550357,-0.012803261157629317,-0.0035203589849659486,-0.0012710144941010986,-7.585786107393457e-4,0.00540413064209442
FR_02_06_00_EBA-2,0.09049480824754762,-0.06987828250723595,0.016050352847390034,-0.0757524077821376,0.004821080345955321,-7.639766371250526e-4,-0.005220600103114848,-0.015358524596346053,0.00727623007378744,0.0028482858517787984,2.2181620893006923e-5,-4.4155634127811526e-4,-0.00555215298298203,0.0015123820404063925,0.0077536778872667024,-0.006440124201769441
FR_02_07_00_EBA-2,0.012627803090148843,-0.14360263367950227,0.03671248972797157,-0.104026745403373,0.014842964358009404,-0.020965313537993902,-0.0027916341500178426,0.0023187011516751736,0.005517183533319855,-0.010372504060460867,0.009952895011688568,-0.003327383749683046,-0.014821661060422186,-2.647531049472641e-4,-7.038664198913409e-4,0.0016571835151215318
FR_02_08_00_EBA-2,0.0669102277000563,-0.15606116445103346,0.061385380144455264,-0.08023068614774254,0.010690828484850727,0.06437708092019584,-0.0021699653030408917,-0.018342868597664392,-0.007944379079234155,0.007005743510151365,-0.0010550252021332678,-0.005977204682849602,-4.3346501665580636e-4,-0.008681162706733286,-0.0029485608407621615,-0.004945795522188475
FR_02_09_00_EBA-2,0.0838857674298127,-0.04362435718144979,-0.01219421977331883,-0.06586267850432649,-0.009545484209769806,-0.005774148891578023,-0.020337937994836477,0.0027609855336050205,0.018480433719078367,0.0014188865101577124,-0.0017644241339375103,0.0070604581749973885,-0.00349965072114612,-0.005853315568046589,-2.1936362894983455e-4,0.0042079399722447465
FR_04_01_00_EBA-1,0.06237165656038338,0.05652441808195,0.009858119226991922,-0.03284016752933074,0.013009279082472517,-0.04991642680184257,-0.0034083324456688976,0.022484813429468384,0.01411794574244977,0.020953170015714978,-0.023176194992267158,0.010387116943985744,-0.013178036454898817,0.025169544545514653,-0.010771373379428148,-0.005453704382797634
FR_04_10_00_EBA-1,0.08538933804855099,0.04446337878554742,-0.08280490174668911,-0.03975223870246075,-0.06279302463300959,0.0453246985295393,-0.01888646828628437,0.040205446836167086,-0.0018851107894471107,-0.024740858860934394,0.02894685488745808,0.012682013277700962,0.0013128700312517877,0.0033960687525216382,-0.002392825310542834,1.335281493434738e-4
FR_04_11_00_EBA-1,-0.009452665431566106,0.04000612630916384,-0.005948574142338909,-0.0608662976312371,0.023814470512305376,0.04317040818436269,-0.007962754877354015,-0.02941393341162818,0.01157191696174508,-0.013166800823104044,2.377542748963886e-4,-0.012904483086998762,-0.014117356920492199,-0.013745411211104386,0.004183347865292063,-0.010782601605115504
FR_04_12_00_EBA-1,0.10170293139019067,0.02803804045740896,-0.072196052183744,-0.03456681033024206,-0.0043911299900743625,0.012680526407128906,-0.026158565949726775,-0.006357106337900751,0.006798070060553497,-0.006560426862118205,0.01794810608102272,0.013303188935423621,-0.008327130737680285,0.0019375886389561689,-0.005186293551856654,-0.0184903610582919
FR_04_13_00_EBA-1,0.1418417067332828,0.04201983919265339,-0.004338782270627335,-0.036284728754262516,-0.07253977948735688,-9.87804957021584e-4,-0.04244573036578074,0.04189898373806489,0.008365217391232593,0.014016214046706927,0.004458446745109444,-0.003437420715220926,-0.007020082005584927,0.017097026265406753,0.0014689380031368672,0.009162819334553597
FR_04_14_00_EBA-1,0.10801646317981527,0.0979901612820449,-0.008902298185801023,-0.02347555736286336,-0.016926180111493053,-0.027203033406324673,-0.033582836897299295,0.015067388781820193,0.00907474167770432,-0.0023031683280468006,-0.013864815853994497,-1.5191731837623011e-5,0.004194477144943289,0.026749630546256502,0.012484102675971834,-0.009819715219997888
FR_04_15_00_EBA-1,0.034360915285008356,0.019118571226695236,0.021282971104503896,-0.0689585015619953,-0.043524947722504904,0.033332561139331154,-0.03315507302853458,0.022753933314067373,0.03386089436854445,-0.00837906022620675,0.006133747099980098,-0.01937280965375969,0.0028071071856705103,0.007072509908428754,0.006166558615016846,-0.0057200198764630564
FR_04_16_00_EBA-1,0.07135346562910955,0.07275647759909556,-0.02025286695084075,-0.03495966458252242,0.012081671550973455,0.018954066716668144,-0.02538889165291483,0.004542668618863262,0.02045742432378966,-0.001030111654877578,-0.004554280097963136,-0.003845629422021992,-0.010605533789332232,0.011502490269876587,-0.005364921774442497,-0.003097694754953405
FR_04_17_00_EBA-1,0.08781100581059532,0.086022730850294285,0.046733094837849896,-0.0288811832387005,0.043302857563250544,-0.05155788767658021,-0.010646287846550778,-0.03270062355454456,0.002363285300944094,0.004048988550828195,-0.01927431448739915,-0.016856516076794364,0.002914029931773477,0.0012417785859289486,0.012558280885189569,-0.014678022734686685
FR_04_18_00_EBA-1,0.07631620408351752,0.1454267197326652,0.07860651805666678,-0.013310889485495215,-0.05697655572501541,0.0926053914038196,-0.03354872152740305,-0.03181390728320862,0.004663432825294221,-0.014220723505466075,0.004964954040000699,-3.8134389422489224e-4,0.012893382917157175,0.021479244608887286,-0.017201161381626633,0.028249333918980966
FR_04_19_00_EBA-1,0.2797274378326297,0.12901192593967575,-0.07184025937126345,0.05381686259720573,-0.056954444433653155,-0.00840732344528213,-0.029537189486611742,-5.708283971726288e-4,-0.004767050445485476,-0.008456338173877755,0.03053344475266593,0.0016787125193980126,-0.017555829015185292,0.001036656667240469,0.011327154080669796,-8.339347298999471e-4
FR_04_02_00_EBA-1,0.081005035133219,0.04096424161039977,0.01658974607046904,-0.04785019435322986,0.0064684532806853585,-0.022447469405839512,-0.04189248878324135,0.034816516865066184,0.012813705697592,0.008232717548595727,-0.0011586220615217037,-0.006450207941966038,-0.010539529288489264,0.027987464341327192,-0.00350522818094356,0.0024894200237651864
FR_04_20_00_EBA-1,0.02391091367858643,-0.031899840057791194,-0.04499935761965199,-0.051442309564939163,0.04469255660289417,-0.028848551875229788,0.040753994128619284,-0.00427344077442213,0.005042719976502431,0.0016212851823355157,-0.028151319041161894,0.018532080789431044,-0.016117990128193163,-0.005697689382159175,-0.014417803342258468,9.305283099931162e-4
FR_04_03_00_EBA-1,0.04738745522246409,-0.01776829137983077,-0.0642507332925813,-0.03231110974990051,8.544376413646606e-4,0.05389190638700621,0.010278180772996996,0.008391218888882992,0.015030401502201664,-0.00955556003583991,0.0017332256630327074,-0.0011849341921342784,0.016461142917526324,0.003132220930974843,-0.0016155660615819454,-0.02683249244164579
FR_04_04_00_EBA-1,0.02661934759238252,0.03098606463894016,-0.00514224311849982,-0.049466149404120446,-0.008423433119676955,-0.009704039933578814,-0.0038526807544157684,0.009969697573124412,0.03422394900824637,4.785636194668873e-4,-0.016054185562083944,8.343534117896733e-4,-0.007755477278943677,0.004835175731975295,-0.003287237678696566,0.0038159534464330632
FR_04_05_00_EBA-1,0.07318184229852452,0.0544202197863682,-0.0324281233999414,-0.04601168688786648,-0.02126828692064665,-0.04304534578938719,-0.04514895822260119,0.009700875282361885,0.027379089177323346,-0.016799379783993935,0.0011494388715400721,0.0039379750204718515,-0.00981052033398325,0.0183140207914901,-0.0033714796161696987,0.0022329592055108137
FR_04_06_00_EBA-1,3.160918955563912e-4,-0.02486007145004406,-0.020773271047316327,-0.04702101133396314,0.028913320483420712,-0.06972717260812487,0.04091716821659165,-0.004963570832610363,0.02081914837453089,-0.007089543613605486,-0.019850153649470254,0.01358247820291158,-0.01900028893450181,0.01722635694635759,-0.01107974949882734,-0.0070092959730557606
FR_04_07_00_EBA-1,0.06636469644622331,0.030053278146561366,0.019109346901020532,-0.05820138929592059,-0.007173478124833482,0.013549746700017733,0.004037920379017247,0.016555735520613665,0.00740867219262349,0.013285296833248202,-0.023515755986317884,0.012962072107767437,-0.01310202024696192,0.01648201444388209,-0.009280372271069457,-2.797902073862982e-4
